tid	section_name	venue_name
430	Main Floor	Howard Theatre
434	Main Floor	Howard Theatre
438	Main Floor	Howard Theatre
442	Main Floor	Howard Theatre
446	Main Floor	Howard Theatre
450	Main Floor	Howard Theatre
454	Main Floor	Howard Theatre
458	Main Floor	Howard Theatre
462	Main Floor	Howard Theatre
466	Main Floor	Howard Theatre
470	Main Floor	Howard Theatre
474	Main Floor	Howard Theatre
478	Main Floor	Howard Theatre
482	Main Floor	Howard Theatre
486	Main Floor	Howard Theatre
490	Main Floor	Howard Theatre
494	Main Floor	Howard Theatre
498	Main Floor	Howard Theatre
502	Main Floor	Howard Theatre
506	Main Floor	Howard Theatre
510	Main Floor	Howard Theatre
514	Main Floor	Howard Theatre
515	Main Floor	Howard Theatre
519	Main Floor	Howard Theatre
523	Main Floor	Howard Theatre
527	Main Floor	Howard Theatre
531	Main Floor	Howard Theatre
535	Main Floor	Howard Theatre
539	Main Floor	Howard Theatre
543	Main Floor	Howard Theatre
547	Main Floor	Howard Theatre
551	Main Floor	Howard Theatre
555	Main Floor	Howard Theatre
559	Main Floor	Howard Theatre
563	Main Floor	Howard Theatre
886	Mezzanine GA	HISTORY
890	Mezzanine GA	HISTORY
894	Main Floor	HISTORY
898	Mezzanine GA	HISTORY
902	Mezzanine GA	HISTORY
906	Mezzanine GA	HISTORY
910	Mezzanine GA	HISTORY
914	Mezzanine GA	HISTORY
918	Main Floor	HISTORY
921	Mezzanine GA	HISTORY
925	Main Floor	HISTORY
929	Main Floor	HISTORY
933	Main Floor	HISTORY
937	Main Floor	HISTORY
941	Main Floor	HISTORY
945	Mezzanine GA	HISTORY
949	Mezzanine GA	HISTORY
953	Mezzanine GA	HISTORY
957	Main Floor	HISTORY
958	Main Floor	The Anthem
962	Main Floor	The Anthem
966	Main Floor	The Anthem
970	Main Floor	The Anthem
974	Main Floor	The Anthem
978	Main Floor	The Anthem
982	Main Floor	The Anthem
986	Main Floor	The Anthem
990	Main Floor	The Anthem
994	Main Floor	The Anthem
996	Main Floor	The Anthem
1000	Main Floor	The Anthem
1004	Main Floor	The Anthem
1008	Main Floor	The Anthem
1012	Main Floor	The Anthem
1016	Main Floor	The Anthem
1020	Main Floor	The Anthem
1024	Main Floor	The Anthem
1028	Main Floor	The Anthem
1032	Main Floor	The Anthem
1035	Main Floor	The Anthem
1039	Main Floor	The Anthem
1043	Main Floor	The Anthem
1047	Main Floor	The Anthem
1051	Main Floor	The Anthem
1055	Main Floor	The Anthem
1059	Main Floor	The Anthem
1063	Main Floor	The Anthem
1067	Main Floor	The Anthem
1071	Main Floor	The Anthem
1075	Main Floor	Thalia Hall
1079	Main Floor	Thalia Hall
1083	Main Floor	Thalia Hall
1087	Main Floor	Thalia Hall
1091	Main Floor	Thalia Hall
1095	Main Floor	Thalia Hall
1099	Main Floor	Thalia Hall
1103	Main Floor	Thalia Hall
1107	Main Floor	Thalia Hall
1111	Main Floor	Thalia Hall
1115	Main Floor	Thalia Hall
1158	Main Floor	Howard Theatre
1162	Main Floor	Howard Theatre
1166	Main Floor	Howard Theatre
1170	Main Floor	Howard Theatre
1174	Main Floor	Howard Theatre
1178	Main Floor	Howard Theatre
1182	Main Floor	Howard Theatre
1186	Main Floor	Howard Theatre
1190	Main Floor	Howard Theatre
1194	Main Floor	Howard Theatre
1198	Main Floor	Howard Theatre
1290	Main Floor	HISTORY
1294	Mezzanine GA	HISTORY
1298	Mezzanine GA	HISTORY
1302	Main Floor	HISTORY
1306	Main Floor	HISTORY
1310	Mezzanine GA	HISTORY
1314	Mezzanine GA	HISTORY
1318	Main Floor	HISTORY
1322	Mezzanine GA	HISTORY
1326	Main Floor	HISTORY
1330	Main Floor	HISTORY
1334	Mezzanine GA	HISTORY
1337	Main Floor	The Anthem
1341	Main Floor	The Anthem
1345	Main Floor	The Anthem
1349	Main Floor	The Anthem
1353	Main Floor	The Anthem
1357	Main Floor	The Anthem
1361	Main Floor	The Anthem
1365	Main Floor	The Anthem
1369	Main Floor	The Anthem
1373	Main Floor	The Anthem
1377	Main Floor	The Anthem
1381	Main Floor	The Anthem
1385	Main Floor	Thalia Hall
1389	Main Floor	Thalia Hall
1393	Main Floor	Thalia Hall
1397	Main Floor	Thalia Hall
1401	Main Floor	Thalia Hall
1405	Main Floor	Thalia Hall
1409	Main Floor	Thalia Hall
1413	Main Floor	Thalia Hall
1417	Main Floor	Thalia Hall
1421	Main Floor	Thalia Hall
1425	Main Floor	Thalia Hall
1429	Main Floor	Thalia Hall
1433	Main Floor	Thalia Hall
1484	Main Floor	Howard Theatre
1488	Main Floor	Howard Theatre
1492	Main Floor	Howard Theatre
1496	Main Floor	Howard Theatre
1500	Main Floor	Howard Theatre
1504	Main Floor	Howard Theatre
1508	Main Floor	Howard Theatre
1512	Main Floor	Howard Theatre
1516	Main Floor	Howard Theatre
1520	Main Floor	Howard Theatre
1524	Main Floor	Howard Theatre
1528	Main Floor	Howard Theatre
1532	Main Floor	Howard Theatre
1694	Main Floor	The Anthem
1698	Main Floor	The Anthem
1702	Main Floor	The Anthem
1706	Main Floor	The Anthem
1710	Main Floor	The Anthem
1714	Main Floor	The Anthem
1718	Main Floor	The Anthem
1722	Main Floor	The Anthem
1726	Main Floor	The Anthem
1730	Main Floor	The Anthem
1734	Main Floor	The Anthem
1738	Main Floor	The Anthem
1742	Main Floor	The Anthem
1746	Main Floor	The Anthem
1750	Main Floor	Thalia Hall
1754	Main Floor	Thalia Hall
1758	Main Floor	Thalia Hall
1762	Main Floor	Thalia Hall
1766	Main Floor	Thalia Hall
1770	Main Floor	Thalia Hall
1774	Main Floor	Thalia Hall
1778	Main Floor	Thalia Hall
1782	Main Floor	Thalia Hall
1786	Main Floor	Thalia Hall
1790	Main Floor	Thalia Hall
1794	Main Floor	Thalia Hall
1798	Main Floor	Thalia Hall
1802	Main Floor	Thalia Hall
1806	Main Floor	Thalia Hall
1865	Main Floor	Howard Theatre
1869	Main Floor	Howard Theatre
1873	Main Floor	Howard Theatre
1877	Main Floor	Howard Theatre
1881	Main Floor	Howard Theatre
1885	Main Floor	Howard Theatre
1889	Main Floor	Howard Theatre
1893	Main Floor	Howard Theatre
1897	Main Floor	Howard Theatre
1901	Main Floor	Howard Theatre
1905	Main Floor	Howard Theatre
1909	Main Floor	Howard Theatre
1913	Main Floor	Howard Theatre
1917	Main Floor	Howard Theatre
1921	Main Floor	Howard Theatre
1995	Mezzanine GA	HISTORY
1999	Mezzanine GA	HISTORY
2003	Mezzanine GA	HISTORY
2007	Main Floor	HISTORY
2011	Main Floor	HISTORY
2015	Main Floor	HISTORY
2019	Main Floor	HISTORY
2023	Mezzanine GA	HISTORY
2027	Main Floor	HISTORY
2031	Main Floor	HISTORY
2033	Main Floor	The Anthem
2037	Main Floor	The Anthem
2041	Main Floor	The Anthem
2045	Main Floor	The Anthem
2049	Main Floor	The Anthem
2053	Main Floor	The Anthem
2057	Main Floor	The Anthem
2061	Main Floor	The Anthem
2065	Main Floor	The Anthem
2069	Main Floor	The Anthem
2072	Main Floor	Thalia Hall
2076	Main Floor	Thalia Hall
2080	Main Floor	Thalia Hall
2084	Main Floor	Thalia Hall
2088	Main Floor	Thalia Hall
2092	Main Floor	Thalia Hall
2096	Main Floor	Thalia Hall
2100	Main Floor	Thalia Hall
2104	Main Floor	Thalia Hall
2108	Main Floor	Thalia Hall
5811	Main Floor	Howard Theatre
5812	Main Floor	Howard Theatre
5813	Main Floor	Howard Theatre
5814	Main Floor	Howard Theatre
5817	Main Floor	Howard Theatre
5819	Main Floor	Howard Theatre
5824	Main Floor	Howard Theatre
5825	Main Floor	Howard Theatre
5827	Main Floor	Howard Theatre
5829	Main Floor	Howard Theatre
5830	Main Floor	Howard Theatre
5832	Main Floor	Howard Theatre
5833	Main Floor	Howard Theatre
5834	Main Floor	Howard Theatre
5835	Main Floor	Howard Theatre
5836	Main Floor	Howard Theatre
5838	Main Floor	Howard Theatre
5840	Main Floor	Howard Theatre
5841	Main Floor	Howard Theatre
5842	Main Floor	Howard Theatre
5843	Main Floor	Howard Theatre
5844	Main Floor	Howard Theatre
5845	Main Floor	Howard Theatre
5846	Main Floor	Howard Theatre
5847	Main Floor	Howard Theatre
5848	Main Floor	Howard Theatre
5849	Main Floor	Howard Theatre
5850	Main Floor	Howard Theatre
5852	Main Floor	Howard Theatre
5853	Main Floor	Howard Theatre
5854	Main Floor	Howard Theatre
5855	Main Floor	Howard Theatre
5856	Main Floor	Howard Theatre
5858	Main Floor	Howard Theatre
5859	Main Floor	Howard Theatre
5862	Main Floor	Howard Theatre
5863	Main Floor	Howard Theatre
5865	Main Floor	Howard Theatre
5866	Main Floor	Howard Theatre
5867	Main Floor	Howard Theatre
5868	Main Floor	Howard Theatre
5871	Main Floor	Howard Theatre
5874	Main Floor	Howard Theatre
5875	Main Floor	Howard Theatre
5876	Main Floor	Howard Theatre
5877	Main Floor	Howard Theatre
5878	Main Floor	Howard Theatre
5879	Main Floor	Howard Theatre
5880	Main Floor	Howard Theatre
5882	Main Floor	Howard Theatre
5884	Main Floor	Howard Theatre
5885	Main Floor	Howard Theatre
5886	Main Floor	Howard Theatre
5887	Main Floor	Howard Theatre
5888	Main Floor	Howard Theatre
5889	Main Floor	Howard Theatre
5890	Main Floor	Howard Theatre
5891	Main Floor	Howard Theatre
5893	Main Floor	Howard Theatre
5895	Main Floor	Howard Theatre
5896	Main Floor	Howard Theatre
5897	Main Floor	Howard Theatre
5899	Main Floor	Howard Theatre
5900	Main Floor	Howard Theatre
5901	Main Floor	Howard Theatre
5904	Main Floor	Howard Theatre
5906	Main Floor	Howard Theatre
5907	Main Floor	Howard Theatre
5908	Main Floor	Howard Theatre
5909	Main Floor	Howard Theatre
5913	Main Floor	Howard Theatre
5914	Main Floor	Howard Theatre
5915	Main Floor	Howard Theatre
5916	Main Floor	Howard Theatre
5917	Main Floor	Howard Theatre
5918	Main Floor	Howard Theatre
5919	Main Floor	Howard Theatre
5920	Main Floor	Howard Theatre
5922	Main Floor	Howard Theatre
5923	Main Floor	Howard Theatre
5925	Main Floor	Howard Theatre
5926	Main Floor	Howard Theatre
5927	Main Floor	Howard Theatre
5929	Main Floor	Howard Theatre
5930	Main Floor	Howard Theatre
5931	Main Floor	Howard Theatre
5932	Main Floor	Howard Theatre
5936	Main Floor	Howard Theatre
5938	Main Floor	Howard Theatre
5939	Main Floor	Howard Theatre
5940	Main Floor	Howard Theatre
5942	Main Floor	Howard Theatre
5944	Main Floor	Howard Theatre
5945	Main Floor	Howard Theatre
5946	Main Floor	Howard Theatre
5947	Main Floor	Howard Theatre
5949	Main Floor	Howard Theatre
5950	Main Floor	Howard Theatre
5951	Main Floor	Howard Theatre
5953	Main Floor	Howard Theatre
5954	Main Floor	Howard Theatre
5955	Main Floor	Howard Theatre
5957	Main Floor	Howard Theatre
5958	Main Floor	Howard Theatre
5959	Main Floor	Howard Theatre
5962	Main Floor	Howard Theatre
5963	Main Floor	Howard Theatre
5964	Main Floor	Howard Theatre
5965	Main Floor	Howard Theatre
5966	Main Floor	Howard Theatre
5967	Main Floor	Howard Theatre
5968	Main Floor	Howard Theatre
5969	Main Floor	Howard Theatre
5970	Main Floor	Howard Theatre
5971	Main Floor	Howard Theatre
5973	Main Floor	Howard Theatre
5975	Main Floor	Howard Theatre
5976	Main Floor	Howard Theatre
5981	Main Floor	Howard Theatre
5983	Main Floor	Howard Theatre
5984	Main Floor	Howard Theatre
5985	Main Floor	Howard Theatre
5986	Main Floor	Howard Theatre
5987	Main Floor	Howard Theatre
5988	Main Floor	Howard Theatre
5990	Main Floor	Howard Theatre
5991	Main Floor	Howard Theatre
5993	Main Floor	Howard Theatre
5994	Main Floor	Howard Theatre
5995	Main Floor	Howard Theatre
5996	Main Floor	Howard Theatre
5997	Main Floor	Howard Theatre
5998	Main Floor	Howard Theatre
6000	Main Floor	Howard Theatre
6001	Main Floor	Howard Theatre
6005	Main Floor	Howard Theatre
6007	Main Floor	Howard Theatre
6008	Main Floor	Howard Theatre
6009	Main Floor	Howard Theatre
6010	Main Floor	Howard Theatre
6012	Main Floor	Howard Theatre
6013	Main Floor	Howard Theatre
6014	Main Floor	Howard Theatre
6015	Main Floor	Howard Theatre
6016	Main Floor	Howard Theatre
6017	Main Floor	Howard Theatre
6019	Main Floor	Howard Theatre
6022	Main Floor	Howard Theatre
6024	Main Floor	Howard Theatre
6025	Main Floor	Howard Theatre
6026	Main Floor	Howard Theatre
6027	Main Floor	Howard Theatre
6028	Main Floor	Howard Theatre
6029	Main Floor	Howard Theatre
6032	Main Floor	Howard Theatre
6033	Main Floor	Howard Theatre
6034	Main Floor	Howard Theatre
6035	Main Floor	Howard Theatre
6036	Main Floor	Howard Theatre
6038	Main Floor	Howard Theatre
6039	Main Floor	Howard Theatre
6040	Main Floor	Howard Theatre
6041	Main Floor	Howard Theatre
6043	Main Floor	Howard Theatre
6044	Main Floor	Howard Theatre
6047	Main Floor	Howard Theatre
6048	Main Floor	Howard Theatre
6049	Main Floor	Howard Theatre
6050	Main Floor	Howard Theatre
6052	Main Floor	Howard Theatre
6054	Main Floor	Howard Theatre
6055	Main Floor	Howard Theatre
6056	Main Floor	Howard Theatre
6057	Main Floor	Howard Theatre
6058	Main Floor	Howard Theatre
6062	Main Floor	Howard Theatre
6063	Main Floor	Howard Theatre
6064	Main Floor	Howard Theatre
6066	Main Floor	Howard Theatre
6067	Main Floor	Howard Theatre
6069	Main Floor	Howard Theatre
6070	Main Floor	Howard Theatre
6071	Main Floor	Howard Theatre
6072	Main Floor	Howard Theatre
6073	Main Floor	Howard Theatre
6074	Main Floor	Howard Theatre
6075	Main Floor	Howard Theatre
6076	Main Floor	Howard Theatre
6077	Main Floor	Howard Theatre
6078	Main Floor	Howard Theatre
6079	Main Floor	Howard Theatre
6080	Main Floor	Howard Theatre
6081	Main Floor	Howard Theatre
6082	Main Floor	Howard Theatre
6084	Main Floor	Howard Theatre
6085	Main Floor	Howard Theatre
6088	Main Floor	Howard Theatre
6090	Main Floor	Howard Theatre
6091	Main Floor	Howard Theatre
6092	Main Floor	Howard Theatre
6093	Main Floor	Howard Theatre
6094	Main Floor	Howard Theatre
6095	Main Floor	Howard Theatre
6096	Main Floor	Howard Theatre
6097	Main Floor	Howard Theatre
6098	Main Floor	Howard Theatre
6100	Main Floor	Howard Theatre
6102	Main Floor	Howard Theatre
6103	Main Floor	Howard Theatre
6104	Main Floor	Howard Theatre
6106	Main Floor	Howard Theatre
6107	Main Floor	Howard Theatre
6108	Main Floor	Howard Theatre
6109	Main Floor	Howard Theatre
6111	Main Floor	Howard Theatre
6112	Main Floor	Howard Theatre
6113	Main Floor	Howard Theatre
6116	Main Floor	Howard Theatre
6121	Main Floor	Howard Theatre
6122	Main Floor	Howard Theatre
6124	Main Floor	Howard Theatre
6126	Main Floor	Howard Theatre
6128	Main Floor	Howard Theatre
6129	Main Floor	Howard Theatre
6130	Main Floor	Howard Theatre
6131	Main Floor	Howard Theatre
6132	Main Floor	Howard Theatre
6134	Main Floor	Howard Theatre
6138	Main Floor	Howard Theatre
6139	Main Floor	Howard Theatre
6140	Main Floor	Howard Theatre
6141	Main Floor	Howard Theatre
6142	Main Floor	Howard Theatre
6143	Main Floor	Howard Theatre
6144	Main Floor	Howard Theatre
6145	Main Floor	Howard Theatre
6146	Main Floor	Howard Theatre
6147	Main Floor	Howard Theatre
6148	Main Floor	Howard Theatre
6149	Main Floor	Howard Theatre
6150	Main Floor	Howard Theatre
6151	Main Floor	Howard Theatre
6152	Main Floor	Howard Theatre
6153	Main Floor	Howard Theatre
6154	Main Floor	Howard Theatre
6156	Main Floor	Howard Theatre
6157	Main Floor	Howard Theatre
6158	Main Floor	Howard Theatre
6159	Main Floor	Howard Theatre
6160	Main Floor	Howard Theatre
6161	Main Floor	Howard Theatre
6162	Main Floor	Howard Theatre
6163	Main Floor	Howard Theatre
6164	Main Floor	Howard Theatre
6165	Main Floor	Howard Theatre
6167	Main Floor	Howard Theatre
6168	Main Floor	Howard Theatre
6169	Main Floor	Howard Theatre
6171	Main Floor	Howard Theatre
6173	Main Floor	Howard Theatre
6176	Main Floor	Howard Theatre
6177	Main Floor	Howard Theatre
6181	Main Floor	Howard Theatre
6182	Main Floor	Howard Theatre
6186	Main Floor	Howard Theatre
6187	Main Floor	Howard Theatre
6188	Main Floor	Howard Theatre
6189	Main Floor	Howard Theatre
6190	Main Floor	Howard Theatre
6192	Main Floor	Howard Theatre
6193	Main Floor	Howard Theatre
6194	Main Floor	Howard Theatre
6195	Main Floor	Howard Theatre
6198	Main Floor	Howard Theatre
6200	Main Floor	Howard Theatre
6201	Main Floor	Howard Theatre
6202	Main Floor	Howard Theatre
6203	Main Floor	Howard Theatre
6204	Main Floor	Howard Theatre
6208	Main Floor	Howard Theatre
6209	Main Floor	Howard Theatre
6210	Main Floor	Howard Theatre
6211	Main Floor	Howard Theatre
6212	Main Floor	Howard Theatre
6214	Main Floor	Howard Theatre
6215	Main Floor	Howard Theatre
6216	Main Floor	Howard Theatre
6217	Main Floor	Howard Theatre
6218	Main Floor	Howard Theatre
6219	Main Floor	Howard Theatre
6220	Main Floor	Howard Theatre
6221	Main Floor	Howard Theatre
6222	Main Floor	Howard Theatre
6225	Main Floor	Howard Theatre
6226	Main Floor	Howard Theatre
6228	Main Floor	Howard Theatre
6229	Main Floor	Howard Theatre
6230	Main Floor	Howard Theatre
6231	Main Floor	Howard Theatre
6232	Main Floor	Howard Theatre
6233	Main Floor	Howard Theatre
6235	Main Floor	Howard Theatre
6236	Main Floor	Howard Theatre
6237	Main Floor	Howard Theatre
6238	Main Floor	Howard Theatre
6239	Main Floor	Howard Theatre
6240	Main Floor	Howard Theatre
6241	Main Floor	Howard Theatre
6242	Main Floor	Howard Theatre
6243	Main Floor	Howard Theatre
6246	Main Floor	Howard Theatre
6250	Main Floor	Howard Theatre
6252	Main Floor	Howard Theatre
6253	Main Floor	Howard Theatre
6254	Main Floor	Howard Theatre
6255	Main Floor	Howard Theatre
6256	Main Floor	Howard Theatre
6258	Main Floor	Howard Theatre
6259	Main Floor	Howard Theatre
6262	Main Floor	Howard Theatre
6263	Main Floor	Howard Theatre
6264	Main Floor	Howard Theatre
6265	Main Floor	Howard Theatre
6266	Main Floor	Howard Theatre
6267	Main Floor	Howard Theatre
6269	Main Floor	Howard Theatre
6270	Main Floor	Howard Theatre
6271	Main Floor	Howard Theatre
6272	Main Floor	Howard Theatre
6274	Main Floor	Howard Theatre
6275	Main Floor	Howard Theatre
6276	Main Floor	Howard Theatre
6277	Main Floor	Howard Theatre
6279	Main Floor	Howard Theatre
6281	Main Floor	Howard Theatre
6282	Main Floor	Howard Theatre
6283	Main Floor	Howard Theatre
6284	Main Floor	Howard Theatre
6285	Main Floor	Howard Theatre
6287	Main Floor	Howard Theatre
6288	Main Floor	Howard Theatre
6289	Main Floor	Howard Theatre
6290	Main Floor	Howard Theatre
6291	Main Floor	Howard Theatre
6293	Main Floor	Howard Theatre
6295	Main Floor	Howard Theatre
6296	Main Floor	Howard Theatre
6297	Main Floor	Howard Theatre
6298	Main Floor	Howard Theatre
6299	Main Floor	Howard Theatre
6300	Main Floor	Howard Theatre
6302	Main Floor	Howard Theatre
6304	Main Floor	Howard Theatre
6305	Main Floor	Howard Theatre
6307	Main Floor	Howard Theatre
6310	Main Floor	Howard Theatre
6311	Main Floor	Howard Theatre
6312	Main Floor	Howard Theatre
6313	Main Floor	Howard Theatre
6315	Main Floor	Howard Theatre
6316	Main Floor	Howard Theatre
6317	Main Floor	Howard Theatre
6319	Main Floor	Howard Theatre
6320	Main Floor	Howard Theatre
6322	Main Floor	Howard Theatre
6323	Main Floor	Howard Theatre
6324	Main Floor	Howard Theatre
6326	Main Floor	Howard Theatre
6327	Main Floor	Howard Theatre
6328	Main Floor	Howard Theatre
6329	Main Floor	Howard Theatre
6330	Main Floor	Howard Theatre
6332	Main Floor	Howard Theatre
6333	Main Floor	Howard Theatre
6336	Main Floor	Howard Theatre
6337	Main Floor	Howard Theatre
6340	Main Floor	Howard Theatre
6341	Main Floor	Howard Theatre
6342	Main Floor	Howard Theatre
6343	Main Floor	Howard Theatre
6344	Main Floor	Howard Theatre
6345	Main Floor	Howard Theatre
6347	Main Floor	Howard Theatre
6348	Main Floor	Howard Theatre
6349	Main Floor	Howard Theatre
6350	Main Floor	Howard Theatre
6351	Main Floor	Howard Theatre
6354	Main Floor	Howard Theatre
6355	Main Floor	Howard Theatre
6356	Main Floor	Howard Theatre
6357	Main Floor	Howard Theatre
6358	Main Floor	Howard Theatre
6359	Main Floor	Howard Theatre
6361	Main Floor	Howard Theatre
6362	Main Floor	Howard Theatre
6363	Main Floor	Howard Theatre
6364	Main Floor	Howard Theatre
6365	Main Floor	Howard Theatre
6366	Main Floor	Howard Theatre
6367	Main Floor	Howard Theatre
6368	Main Floor	Howard Theatre
6370	Main Floor	Howard Theatre
6371	Main Floor	Howard Theatre
6372	Main Floor	Howard Theatre
6374	Main Floor	Howard Theatre
6375	Main Floor	Howard Theatre
6376	Main Floor	Howard Theatre
6377	Main Floor	Howard Theatre
6378	Main Floor	Howard Theatre
6379	Main Floor	Howard Theatre
6380	Main Floor	Howard Theatre
6381	Main Floor	Howard Theatre
6382	Main Floor	Howard Theatre
6383	Main Floor	Howard Theatre
6385	Main Floor	Howard Theatre
6386	Main Floor	Howard Theatre
6387	Main Floor	Howard Theatre
6388	Main Floor	Howard Theatre
6389	Main Floor	Howard Theatre
6390	Main Floor	Howard Theatre
6391	Main Floor	Howard Theatre
6392	Main Floor	Howard Theatre
6393	Main Floor	Howard Theatre
6396	Main Floor	Howard Theatre
6397	Main Floor	Howard Theatre
6398	Main Floor	Howard Theatre
6399	Main Floor	Howard Theatre
6400	Main Floor	Howard Theatre
6402	Main Floor	Howard Theatre
6403	Main Floor	Howard Theatre
6405	Main Floor	Howard Theatre
6406	Main Floor	Howard Theatre
6410	Main Floor	Howard Theatre
6411	Main Floor	Howard Theatre
6413	Main Floor	Howard Theatre
6414	Main Floor	Howard Theatre
6415	Main Floor	Howard Theatre
6416	Main Floor	Howard Theatre
6417	Main Floor	Howard Theatre
6418	Main Floor	Howard Theatre
6419	Main Floor	Howard Theatre
6421	Main Floor	Howard Theatre
6422	Main Floor	Howard Theatre
6424	Main Floor	Howard Theatre
6425	Main Floor	Howard Theatre
6427	Main Floor	Howard Theatre
6428	Main Floor	Howard Theatre
6429	Main Floor	Howard Theatre
6430	Main Floor	Howard Theatre
6431	Main Floor	Howard Theatre
6432	Main Floor	Howard Theatre
6433	Main Floor	Howard Theatre
6434	Main Floor	Howard Theatre
6439	Main Floor	Howard Theatre
6441	Main Floor	Howard Theatre
6442	Main Floor	Howard Theatre
6443	Main Floor	Howard Theatre
6444	Main Floor	Howard Theatre
6445	Main Floor	Howard Theatre
6446	Main Floor	Howard Theatre
6447	Main Floor	Howard Theatre
6448	Main Floor	Howard Theatre
6449	Main Floor	Howard Theatre
6450	Main Floor	Howard Theatre
6451	Main Floor	Howard Theatre
6452	Main Floor	Howard Theatre
6453	Main Floor	Howard Theatre
6455	Main Floor	Howard Theatre
6456	Main Floor	Howard Theatre
6457	Main Floor	Howard Theatre
6458	Main Floor	Howard Theatre
6461	Main Floor	Howard Theatre
6462	Main Floor	Howard Theatre
6463	Main Floor	Howard Theatre
6465	Main Floor	Howard Theatre
6466	Main Floor	Howard Theatre
6467	Main Floor	Howard Theatre
6468	Main Floor	Howard Theatre
6470	Main Floor	Howard Theatre
6471	Main Floor	Howard Theatre
6472	Main Floor	Howard Theatre
6473	Main Floor	Howard Theatre
6475	Main Floor	Howard Theatre
6476	Main Floor	Howard Theatre
6477	Main Floor	Howard Theatre
6478	Main Floor	Howard Theatre
6479	Main Floor	Howard Theatre
6480	Main Floor	Howard Theatre
6482	Main Floor	Howard Theatre
6484	Main Floor	Howard Theatre
6485	Main Floor	Howard Theatre
6486	Main Floor	Howard Theatre
6487	Main Floor	Howard Theatre
6489	Main Floor	Howard Theatre
6490	Main Floor	Howard Theatre
6491	Main Floor	Howard Theatre
6493	Main Floor	Howard Theatre
6494	Main Floor	Howard Theatre
6495	Main Floor	Howard Theatre
6497	Main Floor	Howard Theatre
6498	Main Floor	Howard Theatre
6500	Main Floor	Howard Theatre
6501	Main Floor	Howard Theatre
6505	Main Floor	Howard Theatre
6507	Main Floor	Howard Theatre
6508	Main Floor	Howard Theatre
6510	Main Floor	Howard Theatre
6513	Main Floor	Howard Theatre
6514	Main Floor	Howard Theatre
6516	Main Floor	Howard Theatre
6517	Main Floor	Howard Theatre
6518	Main Floor	Howard Theatre
6521	Main Floor	Howard Theatre
6522	Main Floor	Howard Theatre
6523	Main Floor	Howard Theatre
6524	Main Floor	Howard Theatre
6525	Main Floor	Howard Theatre
6527	Main Floor	Howard Theatre
6528	Main Floor	Howard Theatre
6529	Main Floor	Howard Theatre
6530	Main Floor	Howard Theatre
