tid	face_value	cancel_datetime	oid
567	82.00	\N	157
568	82.00	\N	157
569	37.00	\N	157
570	37.00	\N	157
571	82.00	\N	158
572	37.00	\N	158
573	82.00	\N	158
574	82.00	\N	158
575	82.00	\N	159
576	82.00	\N	159
577	37.00	\N	159
578	82.00	\N	159
579	82.00	\N	159
580	82.00	\N	159
581	82.00	\N	160
582	82.00	\N	160
583	82.00	\N	160
584	82.00	\N	161
585	82.00	\N	161
586	82.00	\N	161
587	82.00	\N	161
588	82.00	\N	162
589	37.00	\N	162
590	37.00	\N	162
591	82.00	\N	162
592	82.00	\N	162
593	82.00	\N	163
594	82.00	\N	163
595	82.00	\N	164
596	82.00	\N	164
597	82.00	\N	165
598	82.00	\N	165
599	82.00	\N	165
600	82.00	\N	165
601	82.00	\N	165
602	82.00	\N	165
603	82.00	\N	166
604	82.00	\N	166
605	82.00	\N	167
606	82.00	\N	167
607	82.00	\N	167
608	82.00	\N	167
609	82.00	\N	167
610	37.00	\N	168
611	37.00	\N	168
612	37.00	\N	168
613	37.00	\N	169
614	82.00	\N	169
615	82.00	\N	170
616	84.00	\N	171
617	84.00	\N	171
618	84.00	\N	172
619	84.00	\N	172
620	84.00	\N	172
621	84.00	\N	173
622	39.00	\N	173
623	39.00	\N	173
624	84.00	\N	173
625	84.00	\N	173
626	84.00	\N	173
627	84.00	\N	174
628	39.00	\N	174
629	84.00	\N	175
630	39.00	\N	176
631	84.00	\N	176
632	84.00	\N	176
633	84.00	\N	176
634	84.00	\N	176
635	39.00	\N	177
636	84.00	\N	177
637	84.00	\N	177
638	84.00	\N	177
639	84.00	\N	178
640	84.00	\N	178
641	84.00	\N	178
642	84.00	\N	178
643	84.00	\N	179
644	84.00	\N	179
645	39.00	\N	179
646	84.00	\N	179
647	84.00	\N	179
648	84.00	\N	180
649	84.00	\N	181
650	84.00	\N	181
651	84.00	\N	181
652	84.00	\N	181
653	84.00	\N	181
654	84.00	\N	181
655	84.00	\N	182
656	84.00	\N	182
657	84.00	\N	182
658	39.00	\N	183
659	84.00	\N	184
660	84.00	\N	184
661	84.00	\N	184
662	84.00	\N	185
663	39.00	\N	185
664	84.00	\N	185
665	84.00	\N	186
666	84.00	\N	187
667	84.00	\N	188
668	80.00	\N	189
669	35.00	\N	189
670	80.00	\N	189
671	35.00	\N	189
672	80.00	\N	190
673	80.00	\N	191
674	80.00	\N	191
675	80.00	\N	191
676	80.00	\N	191
677	80.00	\N	192
678	80.00	\N	192
679	80.00	\N	192
680	80.00	\N	193
681	80.00	\N	193
682	80.00	\N	193
683	80.00	\N	193
684	80.00	\N	193
685	35.00	\N	193
686	80.00	\N	194
687	80.00	\N	194
688	80.00	\N	194
689	35.00	\N	194
690	35.00	\N	194
691	80.00	\N	195
692	80.00	\N	195
693	80.00	\N	195
694	80.00	\N	195
695	80.00	\N	196
696	35.00	\N	196
697	80.00	\N	196
698	35.00	\N	196
699	35.00	\N	196
700	80.00	\N	196
701	80.00	\N	197
702	80.00	\N	197
703	80.00	\N	197
704	35.00	\N	197
705	80.00	\N	197
706	35.00	\N	198
707	80.00	\N	198
708	80.00	\N	198
709	80.00	\N	198
710	80.00	\N	198
711	80.00	\N	198
712	80.00	\N	199
713	80.00	\N	199
714	80.00	\N	199
715	80.00	\N	199
716	80.00	\N	200
717	80.00	\N	201
718	80.00	\N	202
719	80.00	\N	203
720	80.00	\N	203
721	42.00	\N	204
722	42.00	\N	204
723	42.00	\N	204
724	42.00	\N	204
725	42.00	\N	204
726	42.00	\N	205
727	42.00	\N	205
728	42.00	\N	205
729	42.00	\N	205
730	42.00	\N	205
731	42.00	\N	206
732	42.00	\N	206
733	42.00	\N	207
734	42.00	\N	208
735	42.00	\N	208
736	42.00	\N	208
737	42.00	\N	208
738	42.00	\N	208
739	42.00	\N	208
740	42.00	\N	209
741	42.00	\N	209
742	42.00	\N	209
743	42.00	\N	209
744	42.00	\N	210
745	42.00	\N	210
746	42.00	\N	211
747	42.00	\N	211
748	42.00	\N	211
749	42.00	\N	212
750	42.00	\N	212
751	42.00	\N	213
752	42.00	\N	213
753	42.00	\N	213
754	42.00	\N	213
755	42.00	\N	213
756	42.00	\N	214
757	42.00	\N	214
758	42.00	\N	215
759	42.00	\N	215
760	42.00	\N	215
761	42.00	\N	216
762	42.00	\N	217
763	42.00	\N	218
764	42.00	\N	218
765	42.00	\N	218
766	42.00	\N	218
767	42.00	\N	218
768	42.00	\N	219
769	42.00	\N	219
770	42.00	\N	219
771	42.00	\N	219
772	42.00	\N	219
773	42.00	\N	219
774	42.00	\N	220
775	44.00	\N	221
776	44.00	\N	221
777	44.00	\N	221
778	44.00	\N	221
779	44.00	\N	221
780	44.00	\N	222
781	44.00	\N	222
782	44.00	\N	223
783	64.00	\N	223
784	44.00	\N	223
785	44.00	\N	223
786	64.00	\N	224
787	64.00	\N	224
788	64.00	\N	224
789	64.00	\N	225
790	64.00	\N	225
791	44.00	\N	225
792	44.00	\N	225
793	44.00	\N	226
794	64.00	\N	226
795	44.00	\N	227
796	64.00	\N	227
797	64.00	\N	227
798	64.00	\N	227
799	64.00	\N	227
800	64.00	\N	228
801	44.00	\N	228
802	44.00	\N	228
803	64.00	\N	228
804	44.00	\N	229
805	64.00	\N	230
806	44.00	\N	230
807	44.00	\N	230
808	44.00	\N	231
809	44.00	\N	231
810	44.00	\N	231
811	64.00	\N	232
812	64.00	\N	232
813	44.00	\N	232
814	44.00	\N	232
815	44.00	\N	233
816	64.00	\N	233
817	44.00	\N	234
818	44.00	\N	234
819	64.00	\N	235
820	64.00	\N	235
821	64.00	\N	235
822	44.00	\N	235
823	64.00	\N	236
824	44.00	\N	236
825	64.00	\N	236
826	44.00	\N	236
827	64.00	\N	237
828	44.00	\N	237
829	64.00	\N	237
830	40.00	\N	238
831	40.00	\N	238
832	40.00	\N	239
833	40.00	\N	239
834	40.00	\N	239
835	40.00	\N	239
836	40.00	\N	239
837	40.00	\N	239
838	40.00	\N	240
839	40.00	\N	240
840	40.00	\N	240
841	40.00	\N	240
842	40.00	\N	240
843	40.00	\N	241
844	40.00	\N	241
845	40.00	\N	241
846	40.00	\N	241
847	40.00	\N	241
848	40.00	\N	242
849	40.00	\N	243
850	40.00	\N	243
851	40.00	\N	243
852	40.00	\N	243
853	40.00	\N	243
854	40.00	\N	243
855	40.00	2026-06-27 14:48:00	244
856	40.00	\N	245
857	40.00	\N	245
858	40.00	\N	245
859	40.00	\N	245
860	40.00	\N	246
861	40.00	\N	246
862	40.00	\N	246
863	40.00	\N	246
864	40.00	\N	246
865	40.00	\N	247
866	40.00	\N	247
867	40.00	\N	247
868	40.00	\N	247
869	40.00	\N	247
870	40.00	\N	247
871	40.00	\N	248
872	40.00	\N	249
873	40.00	\N	249
874	40.00	\N	249
875	40.00	\N	250
876	40.00	\N	251
877	40.00	\N	252
878	40.00	\N	252
879	40.00	\N	252
880	40.00	\N	252
881	40.00	\N	252
882	40.00	\N	252
883	40.00	\N	253
884	40.00	\N	254
885	40.00	\N	254
886	52.00	\N	255
887	97.00	\N	255
888	97.00	\N	255
889	97.00	\N	255
890	52.00	\N	255
891	97.00	\N	256
892	97.00	\N	256
893	97.00	\N	256
894	52.00	\N	256
895	97.00	\N	257
896	97.00	\N	257
897	97.00	\N	257
898	52.00	\N	257
899	97.00	\N	257
900	97.00	\N	258
901	97.00	\N	258
902	52.00	\N	258
903	97.00	\N	258
904	97.00	\N	258
905	97.00	\N	258
906	52.00	\N	259
907	97.00	\N	259
908	97.00	\N	259
909	97.00	\N	259
910	52.00	\N	259
911	97.00	\N	260
912	97.00	\N	260
913	97.00	\N	260
914	52.00	\N	260
915	97.00	\N	261
916	97.00	\N	261
917	97.00	\N	261
918	52.00	\N	261
919	97.00	\N	261
920	97.00	\N	262
921	50.00	\N	263
922	95.00	\N	263
923	95.00	\N	263
924	95.00	\N	263
925	50.00	\N	264
926	95.00	\N	264
927	95.00	\N	264
928	95.00	\N	264
929	50.00	\N	264
930	95.00	\N	264
931	95.00	\N	265
932	95.00	\N	265
933	50.00	\N	265
934	95.00	\N	266
935	95.00	\N	266
936	95.00	\N	266
937	50.00	\N	266
938	95.00	\N	267
939	95.00	\N	267
940	95.00	\N	267
941	50.00	\N	267
942	95.00	\N	267
943	95.00	\N	267
944	95.00	\N	268
945	50.00	\N	268
946	95.00	\N	268
947	95.00	\N	268
948	95.00	\N	268
949	50.00	\N	268
950	95.00	\N	269
951	95.00	\N	269
952	95.00	\N	269
953	50.00	\N	270
954	95.00	\N	270
955	95.00	\N	271
956	95.00	\N	271
957	50.00	\N	272
958	57.00	\N	273
959	102.00	\N	273
960	102.00	\N	273
961	102.00	\N	273
962	57.00	\N	274
963	77.00	\N	274
964	77.00	\N	275
965	77.00	\N	276
966	57.00	\N	276
967	102.00	\N	276
968	102.00	\N	276
969	77.00	\N	276
970	57.00	\N	276
971	102.00	\N	277
972	77.00	\N	277
973	102.00	\N	277
974	57.00	\N	278
975	102.00	\N	278
976	77.00	\N	278
977	77.00	\N	279
978	57.00	\N	279
979	77.00	\N	279
980	102.00	\N	280
981	77.00	\N	280
982	57.00	\N	280
983	77.00	\N	281
984	102.00	\N	282
985	102.00	\N	283
986	57.00	\N	283
987	77.00	\N	283
988	77.00	\N	283
989	102.00	\N	283
990	57.00	\N	283
991	102.00	\N	284
992	77.00	\N	284
993	77.00	\N	284
994	57.00	\N	284
995	102.00	\N	285
996	59.00	\N	286
997	59.00	\N	286
998	104.00	\N	286
999	59.00	\N	287
1000	59.00	\N	287
1001	104.00	\N	287
1002	104.00	\N	287
1003	59.00	\N	287
1004	59.00	\N	288
1005	104.00	\N	288
1006	104.00	\N	288
1007	59.00	\N	289
1008	59.00	\N	289
1009	104.00	\N	289
1010	104.00	\N	290
1011	104.00	\N	290
1012	59.00	\N	290
1013	104.00	\N	290
1014	104.00	\N	291
1015	59.00	\N	291
1016	59.00	\N	292
1017	104.00	\N	292
1018	104.00	\N	292
1019	59.00	\N	293
1020	59.00	\N	293
1021	104.00	\N	294
1022	104.00	\N	294
1023	104.00	\N	294
1024	59.00	\N	294
1025	59.00	\N	294
1026	59.00	\N	294
1027	104.00	\N	295
1028	59.00	\N	295
1029	59.00	\N	295
1030	104.00	\N	296
1031	104.00	\N	296
1032	59.00	\N	296
1033	59.00	\N	296
1034	59.00	\N	297
1035	40.00	\N	298
1036	100.00	\N	298
1037	100.00	\N	298
1038	100.00	\N	298
1039	40.00	\N	298
1040	100.00	\N	298
1041	100.00	\N	299
1042	100.00	\N	299
1043	40.00	\N	299
1044	100.00	\N	299
1045	100.00	\N	299
1046	55.00	\N	299
1047	40.00	\N	300
1048	55.00	\N	300
1049	100.00	\N	300
1050	100.00	\N	301
1051	40.00	\N	301
1052	55.00	\N	302
1053	55.00	\N	303
1054	55.00	\N	303
1055	40.00	\N	303
1056	100.00	\N	303
1057	100.00	\N	303
1058	55.00	\N	304
1059	40.00	\N	304
1060	100.00	\N	304
1061	100.00	\N	304
1062	100.00	\N	305
1063	40.00	\N	306
1064	55.00	\N	306
1065	100.00	\N	306
1066	100.00	\N	307
1067	40.00	\N	307
1068	55.00	\N	308
1069	55.00	\N	308
1070	100.00	2026-07-21 14:50:24	308
1071	40.00	\N	308
1072	55.00	\N	308
1073	55.00	\N	308
1074	100.00	\N	309
1075	62.00	\N	310
1076	62.00	\N	310
1077	62.00	\N	310
1078	62.00	\N	310
1079	62.00	\N	310
1080	62.00	\N	311
1081	62.00	\N	312
1082	62.00	\N	312
1083	62.00	\N	312
1084	62.00	\N	312
1085	62.00	\N	312
1086	62.00	\N	312
1087	62.00	\N	313
1088	107.00	\N	313
1089	62.00	\N	313
1090	62.00	\N	313
1091	62.00	\N	313
1092	62.00	\N	313
1093	107.00	\N	314
1094	62.00	\N	314
1095	62.00	\N	314
1096	62.00	\N	314
1097	62.00	\N	314
1098	62.00	\N	314
1099	62.00	\N	315
1100	107.00	\N	315
1101	62.00	\N	315
1102	62.00	\N	315
1103	62.00	\N	316
1104	62.00	\N	316
1105	62.00	\N	316
1106	62.00	\N	316
1107	62.00	\N	317
1108	62.00	\N	318
1109	62.00	\N	319
1110	62.00	\N	319
1111	62.00	\N	319
1112	62.00	\N	319
1113	62.00	\N	320
1114	107.00	\N	320
1115	62.00	\N	320
1116	109.00	\N	321
1117	64.00	\N	321
1118	109.00	\N	322
1119	109.00	\N	322
1120	109.00	\N	322
1121	109.00	\N	322
1122	109.00	\N	323
1123	109.00	\N	323
1124	109.00	\N	323
1125	109.00	\N	323
1126	109.00	\N	324
1127	109.00	\N	324
1128	109.00	\N	324
1129	109.00	\N	325
1130	109.00	\N	326
1131	109.00	\N	327
1132	109.00	\N	328
1133	109.00	\N	328
1134	109.00	\N	328
1135	64.00	\N	329
1136	109.00	\N	329
1137	64.00	\N	329
1138	64.00	\N	329
1139	109.00	\N	329
1140	64.00	\N	329
1141	64.00	\N	330
1142	109.00	\N	330
1143	64.00	\N	331
1144	64.00	\N	332
1145	64.00	\N	332
1146	64.00	\N	332
1147	109.00	\N	332
1148	64.00	\N	332
1149	64.00	\N	333
1150	109.00	\N	333
1151	109.00	\N	333
1152	109.00	\N	333
1153	109.00	\N	334
1154	64.00	\N	335
1155	109.00	\N	335
1156	109.00	\N	335
1157	109.00	\N	336
1158	60.00	\N	337
1159	60.00	\N	337
1160	60.00	\N	338
1161	60.00	\N	339
1162	60.00	\N	339
1163	60.00	\N	339
1164	60.00	\N	339
1165	60.00	\N	339
1166	60.00	\N	339
1167	60.00	\N	340
1168	60.00	\N	340
1169	60.00	\N	340
1170	60.00	\N	340
1171	60.00	\N	340
1172	60.00	\N	341
1173	60.00	\N	341
1174	60.00	\N	341
1175	60.00	\N	341
1176	60.00	\N	342
1177	60.00	\N	342
1178	60.00	\N	342
1179	60.00	\N	343
1180	60.00	\N	343
1181	60.00	\N	343
1182	60.00	\N	343
1183	60.00	\N	343
1184	60.00	\N	343
1185	60.00	\N	344
1186	60.00	\N	344
1187	60.00	\N	344
1188	60.00	\N	345
1189	60.00	\N	345
1190	60.00	\N	345
1191	60.00	\N	345
1192	60.00	\N	345
1193	60.00	\N	345
1194	60.00	\N	346
1195	60.00	\N	346
1196	60.00	\N	346
1197	60.00	\N	346
1198	60.00	\N	347
1199	60.00	\N	347
1200	60.00	\N	347
1201	82.00	\N	348
1202	82.00	\N	348
1203	37.00	\N	348
1204	82.00	\N	349
1205	82.00	\N	349
1206	82.00	\N	349
1207	82.00	\N	350
1208	82.00	\N	351
1209	37.00	\N	351
1210	37.00	\N	352
1211	82.00	\N	352
1212	82.00	\N	352
1213	82.00	\N	352
1214	82.00	\N	352
1215	82.00	\N	352
1216	82.00	\N	353
1217	82.00	\N	353
1218	82.00	\N	353
1219	82.00	\N	353
1220	37.00	\N	353
1221	82.00	\N	353
1222	82.00	\N	354
1223	82.00	\N	355
1224	82.00	\N	355
1225	37.00	\N	356
1226	82.00	\N	356
1227	82.00	\N	356
1228	82.00	\N	356
1229	82.00	\N	356
1230	82.00	\N	357
1231	82.00	\N	357
1232	82.00	\N	357
1233	82.00	\N	358
1234	37.00	\N	358
1235	82.00	\N	359
1236	82.00	\N	360
1237	37.00	\N	360
1238	82.00	\N	360
1239	82.00	\N	360
1240	37.00	\N	360
1241	37.00	\N	361
1242	82.00	\N	362
