tid	seat	row	section_name	venue_name
58	17	8	First Balcony	Burton Cummings Theatre
59	13	9	First Balcony	Burton Cummings Theatre
60	28	14	Main Floor	Burton Cummings Theatre
61	1	12	Second Balcony	Burton Cummings Theatre
62	18	9	Main Floor	Burton Cummings Theatre
63	13	11	Second Balcony	Burton Cummings Theatre
64	11	5	Main Floor	Burton Cummings Theatre
65	2	5	Main Floor	Burton Cummings Theatre
66	3	5	Main Floor	Burton Cummings Theatre
67	1	5	Second Balcony	Burton Cummings Theatre
68	13	15	First Balcony	Burton Cummings Theatre
69	9	22	Main Floor	Burton Cummings Theatre
70	20	4	First Balcony	Burton Cummings Theatre
71	12	18	First Balcony	Burton Cummings Theatre
72	19	17	Main Floor	Burton Cummings Theatre
73	14	14	Main Floor	Burton Cummings Theatre
74	17	16	Main Floor	Burton Cummings Theatre
75	2	26	Main Floor	Burton Cummings Theatre
76	2	5	Second Balcony	Burton Cummings Theatre
77	14	1	Main Floor	Burton Cummings Theatre
78	17	1	Second Balcony	Burton Cummings Theatre
79	10	20	First Balcony	Burton Cummings Theatre
80	28	8	First Balcony	Burton Cummings Theatre
82	36	7	Mezzanine Reserved	HISTORY
83	38	7	Mezzanine Reserved	HISTORY
85	15	3	Mezzanine Reserved	HISTORY
86	34	1	Mezzanine Reserved	HISTORY
88	28	9	Mezzanine Reserved	HISTORY
89	20	1	Mezzanine Reserved	HISTORY
91	7	4	Mezzanine Reserved	HISTORY
92	19	1	Mezzanine Reserved	HISTORY
94	40	6	Mezzanine Reserved	HISTORY
95	11	2	Mezzanine Reserved	HISTORY
97	7	2	Mezzanine Reserved	HISTORY
98	37	9	Mezzanine Reserved	HISTORY
100	33	6	Mezzanine Reserved	HISTORY
101	29	3	Mezzanine Reserved	HISTORY
103	28	2	Mezzanine Reserved	HISTORY
104	11	4	Mezzanine Reserved	HISTORY
106	11	1	Mezzanine Reserved	HISTORY
107	12	5	Mezzanine Reserved	HISTORY
109	37	7	Mezzanine Reserved	HISTORY
111	13	6	Balcony 2	The Anthem
112	48	17	Balcony 1	The Anthem
114	20	16	Balcony 1	The Anthem
115	42	13	Balcony 1	The Anthem
117	6	1	Balcony 2	The Anthem
118	17	17	Balcony 1	The Anthem
120	22	20	Balcony 2	The Anthem
121	39	13	Balcony 1	The Anthem
138	21	19	Orchestra	Vogue Theatre
139	11	6	Orchestra	Vogue Theatre
140	17	10	Orchestra	Vogue Theatre
141	25	6	Main Floor	Capitol Theatre Windsor
142	18	9	Main Floor	Capitol Theatre Windsor
143	25	7	Main Floor	Capitol Theatre Windsor
144	17	9	Main Floor	Capitol Theatre Windsor
145	23	25	Orchestra	Lincoln Theatre
146	1	5	Upper Balcony	Lincoln Theatre
147	22	7	Orchestra	Lincoln Theatre
148	15	20	Orchestra	Lincoln Theatre
149	17	7	Upper Balcony	Lincoln Theatre
150	28	15	Main Floor	Burton Cummings Theatre
151	22	19	Main Floor	Burton Cummings Theatre
156	31	1	Balcony 1	The Anthem
157	35	16	Balcony 2	The Anthem
158	1	25	Balcony 1	The Anthem
160	39	6	Balcony 2	The Anthem
161	22	11	Balcony 1	The Anthem
162	6	24	Balcony 2	The Anthem
164	3	17	Balcony 2	The Anthem
165	37	8	Balcony 2	The Anthem
166	39	18	Balcony 2	The Anthem
168	8	14	Balcony 1	The Anthem
169	15	25	Balcony 1	The Anthem
170	18	18	Balcony 1	The Anthem
172	10	11	Balcony 2	The Anthem
173	23	20	Balcony 1	The Anthem
174	37	14	Balcony 2	The Anthem
176	23	8	Balcony 1	The Anthem
177	25	7	Balcony 1	The Anthem
178	31	20	Balcony 2	The Anthem
180	21	17	Balcony 1	The Anthem
181	46	14	Balcony 1	The Anthem
182	38	11	Balcony 2	The Anthem
184	25	12	Balcony 2	The Anthem
185	44	19	Balcony 2	The Anthem
186	6	4	Balcony 2	The Anthem
188	24	17	Balcony 2	The Anthem
189	17	11	Balcony 2	The Anthem
190	22	16	Balcony 2	The Anthem
192	32	6	Balcony 2	The Anthem
193	1	7	Balcony 1	The Anthem
194	48	24	Balcony 1	The Anthem
197	1	6	Seated Balcony	Thalia Hall
198	20	10	Seated Balcony	Thalia Hall
199	17	6	Seated Balcony	Thalia Hall
201	23	7	Seated Balcony	Thalia Hall
202	16	6	Seated Balcony	Thalia Hall
203	16	5	Seated Balcony	Thalia Hall
205	8	3	Seated Balcony	Thalia Hall
206	7	3	Seated Balcony	Thalia Hall
207	9	5	Seated Balcony	Thalia Hall
209	4	1	Opera Boxes	Thalia Hall
210	17	2	Seated Balcony	Thalia Hall
211	22	4	Seated Balcony	Thalia Hall
213	25	9	Seated Balcony	Thalia Hall
214	9	5	Opera Boxes	Thalia Hall
215	11	7	Seated Balcony	Thalia Hall
217	14	9	Seated Balcony	Thalia Hall
218	8	5	Seated Balcony	Thalia Hall
219	24	9	Seated Balcony	Thalia Hall
221	6	2	Opera Boxes	Thalia Hall
222	18	8	Seated Balcony	Thalia Hall
223	7	5	Seated Balcony	Thalia Hall
225	7	3	Opera Boxes	Thalia Hall
226	14	4	Seated Balcony	Thalia Hall
227	21	4	Seated Balcony	Thalia Hall
229	4	3	Opera Boxes	Thalia Hall
230	21	3	Seated Balcony	Thalia Hall
231	22	10	Seated Balcony	Thalia Hall
233	19	9	Seated Balcony	Thalia Hall
234	21	10	Seated Balcony	Thalia Hall
235	20	7	Seated Balcony	Thalia Hall
237	15	8	Seated Balcony	Thalia Hall
239	3	7	Seated Balcony	Thalia Hall
240	24	4	Seated Balcony	Thalia Hall
241	24	3	Seated Balcony	Thalia Hall
243	5	2	Opera Boxes	Thalia Hall
244	24	8	Seated Balcony	Thalia Hall
245	15	3	Seated Balcony	Thalia Hall
247	17	9	Seated Balcony	Thalia Hall
248	1	1	Opera Boxes	Thalia Hall
249	8	7	Seated Balcony	Thalia Hall
251	3	8	Seated Balcony	Thalia Hall
252	1	2	Opera Boxes	Thalia Hall
253	5	9	Seated Balcony	Thalia Hall
255	4	10	Seated Balcony	Thalia Hall
256	11	8	Seated Balcony	Thalia Hall
257	19	6	Seated Balcony	Thalia Hall
259	5	10	Seated Balcony	Thalia Hall
260	8	1	Opera Boxes	Thalia Hall
261	16	10	Seated Balcony	Thalia Hall
263	4	9	Seated Balcony	Thalia Hall
264	3	1	Opera Boxes	Thalia Hall
265	6	3	Seated Balcony	Thalia Hall
267	8	10	Seated Balcony	Thalia Hall
268	9	3	Opera Boxes	Thalia Hall
269	10	2	Seated Balcony	Thalia Hall
271	8	5	Seated Balcony	Thalia Hall
272	15	1	Seated Balcony	Thalia Hall
273	2	4	Opera Boxes	Thalia Hall
275	21	5	Seated Balcony	Thalia Hall
276	23	6	Seated Balcony	Thalia Hall
277	15	5	Seated Balcony	Thalia Hall
279	10	1	Opera Boxes	Thalia Hall
280	16	6	Seated Balcony	Thalia Hall
282	17	1	Seated Balcony	Thalia Hall
283	13	8	Seated Balcony	Thalia Hall
284	5	10	Seated Balcony	Thalia Hall
286	7	6	Seated Balcony	Thalia Hall
287	13	2	Seated Balcony	Thalia Hall
288	6	8	Seated Balcony	Thalia Hall
290	10	2	Opera Boxes	Thalia Hall
291	12	10	Seated Balcony	Thalia Hall
292	2	8	Seated Balcony	Thalia Hall
294	22	8	Seated Balcony	Thalia Hall
295	23	2	Seated Balcony	Thalia Hall
296	20	5	Seated Balcony	Thalia Hall
298	3	3	Opera Boxes	Thalia Hall
299	6	7	Seated Balcony	Thalia Hall
300	9	5	Seated Balcony	Thalia Hall
302	15	1	Seated Balcony	Thalia Hall
303	18	6	Seated Balcony	Thalia Hall
304	15	6	Seated Balcony	Thalia Hall
306	17	6	Seated Balcony	Thalia Hall
307	8	5	Seated Balcony	Thalia Hall
308	24	5	Seated Balcony	Thalia Hall
310	9	4	Seated Balcony	Thalia Hall
311	12	3	Seated Balcony	Thalia Hall
312	18	7	Seated Balcony	Thalia Hall
314	19	10	Seated Balcony	Thalia Hall
315	10	10	Seated Balcony	Thalia Hall
316	15	7	Seated Balcony	Thalia Hall
318	5	9	Seated Balcony	Thalia Hall
319	19	7	Seated Balcony	Thalia Hall
320	18	4	Seated Balcony	Thalia Hall
322	9	3	Opera Boxes	Thalia Hall
323	18	9	Seated Balcony	Thalia Hall
324	15	2	Seated Balcony	Thalia Hall
325	12	8	Upper Balcony	Lincoln Theatre
326	23	15	Orchestra	Lincoln Theatre
327	10	9	Lower Balcony	Lincoln Theatre
328	4	30	Orchestra	Lincoln Theatre
329	13	28	Orchestra	Lincoln Theatre
330	16	29	Orchestra	Lincoln Theatre
331	5	29	Orchestra	Lincoln Theatre
332	19	4	Lower Balcony	Lincoln Theatre
333	2	7	Upper Balcony	Lincoln Theatre
334	6	19	Orchestra	Lincoln Theatre
335	15	6	Orchestra	Lincoln Theatre
336	15	9	Upper Balcony	Lincoln Theatre
337	10	10	Lower Balcony	Lincoln Theatre
338	17	10	Upper Balcony	Lincoln Theatre
339	20	1	Lower Balcony	Lincoln Theatre
340	17	7	Lower Balcony	Lincoln Theatre
341	6	4	Lower Balcony	Lincoln Theatre
342	16	8	Lower Balcony	Lincoln Theatre
343	16	2	Orchestra	Lincoln Theatre
344	3	7	Orchestra	Lincoln Theatre
345	22	8	Orchestra	Lincoln Theatre
346	17	2	Upper Balcony	Lincoln Theatre
347	18	4	Upper Balcony	Lincoln Theatre
348	10	5	Upper Balcony	Lincoln Theatre
349	11	6	Orchestra	Lincoln Theatre
350	2	3	Lower Balcony	Lincoln Theatre
351	20	1	Upper Balcony	Lincoln Theatre
352	22	8	Lower Balcony	Lincoln Theatre
353	13	20	Orchestra	Lincoln Theatre
354	12	24	Orchestra	Lincoln Theatre
355	1	7	Lower Balcony	Lincoln Theatre
356	15	7	Lower Balcony	Lincoln Theatre
357	13	3	Orchestra	Lincoln Theatre
358	1	2	Upper Balcony	Lincoln Theatre
359	6	8	Upper Balcony	Lincoln Theatre
360	7	14	Orchestra	Lincoln Theatre
361	24	17	Orchestra	Lincoln Theatre
362	3	9	Orchestra	Lincoln Theatre
363	21	24	Orchestra	Lincoln Theatre
364	8	9	Orchestra	Lincoln Theatre
365	2	21	Orchestra	Lincoln Theatre
366	5	28	Orchestra	Lincoln Theatre
367	18	8	Lower Balcony	Lincoln Theatre
368	22	4	Orchestra	Lincoln Theatre
369	18	13	Orchestra	Lincoln Theatre
370	15	12	Orchestra	Lincoln Theatre
371	16	9	Orchestra	Lincoln Theatre
372	23	4	Orchestra	Lincoln Theatre
373	4	5	Upper Balcony	Lincoln Theatre
374	2	2	Upper Balcony	Lincoln Theatre
375	22	31	Orchestra	Lincoln Theatre
376	14	6	Orchestra	Lincoln Theatre
377	15	8	Orchestra	Lincoln Theatre
378	15	1	Orchestra	Lincoln Theatre
379	19	9	Lower Balcony	Lincoln Theatre
380	19	5	Lower Balcony	Lincoln Theatre
381	21	22	Orchestra	Lincoln Theatre
382	21	8	Orchestra	Lincoln Theatre
383	8	31	Orchestra	Lincoln Theatre
384	8	5	Upper Balcony	Lincoln Theatre
385	3	8	Lower Balcony	Lincoln Theatre
386	1	8	Lower Balcony	Lincoln Theatre
387	25	2	Orchestra	Lincoln Theatre
388	13	10	Upper Balcony	Lincoln Theatre
389	18	6	Upper Balcony	Lincoln Theatre
390	7	25	Orchestra	Lincoln Theatre
391	16	28	Orchestra	Lincoln Theatre
392	22	2	Lower Balcony	Lincoln Theatre
393	11	3	Lower Balcony	Lincoln Theatre
394	25	1	Orchestra	Lincoln Theatre
395	18	3	Upper Balcony	Lincoln Theatre
396	14	19	Orchestra	Lincoln Theatre
397	4	4	Upper Balcony	Lincoln Theatre
398	14	7	Orchestra	Lincoln Theatre
399	4	2	Upper Balcony	Lincoln Theatre
400	5	6	Orchestra	Lincoln Theatre
401	13	3	Upper Balcony	Lincoln Theatre
402	16	4	Upper Balcony	Lincoln Theatre
403	13	1	Lower Balcony	Lincoln Theatre
404	25	17	Orchestra	Lincoln Theatre
405	4	1	Orchestra	Lincoln Theatre
406	16	22	Orchestra	Lincoln Theatre
407	9	18	Orchestra	Lincoln Theatre
408	3	23	Orchestra	Lincoln Theatre
409	20	5	Upper Balcony	Lincoln Theatre
410	20	17	Orchestra	Lincoln Theatre
411	18	9	Upper Balcony	Lincoln Theatre
412	17	1	Orchestra	Lincoln Theatre
413	8	2	Upper Balcony	Lincoln Theatre
414	18	18	Orchestra	Lincoln Theatre
415	3	6	Upper Balcony	Lincoln Theatre
416	11	2	Orchestra	Lincoln Theatre
417	16	3	Orchestra	Lincoln Theatre
419	1	3	Balcony Seating	Howard Theatre
420	9	5	Balcony Booths	Howard Theatre
421	6	6	Balcony Seating	Howard Theatre
423	13	10	Balcony Seating	Howard Theatre
424	6	1	Balcony Seating	Howard Theatre
425	18	2	Balcony Seating	Howard Theatre
427	1	2	Balcony Seating	Howard Theatre
428	9	4	Balcony Seating	Howard Theatre
429	14	4	Balcony Seating	Howard Theatre
431	16	10	Balcony Seating	Howard Theatre
432	10	2	Balcony Seating	Howard Theatre
433	5	4	Balcony Booths	Howard Theatre
435	3	4	Balcony Seating	Howard Theatre
436	8	7	Balcony Booths	Howard Theatre
437	17	6	Balcony Seating	Howard Theatre
439	6	4	Balcony Seating	Howard Theatre
440	2	10	Balcony Booths	Howard Theatre
441	4	7	Balcony Seating	Howard Theatre
443	4	3	Balcony Seating	Howard Theatre
444	13	6	Balcony Seating	Howard Theatre
445	8	5	Balcony Booths	Howard Theatre
447	4	4	Balcony Booths	Howard Theatre
448	5	6	Balcony Seating	Howard Theatre
449	16	1	Balcony Seating	Howard Theatre
451	3	1	Balcony Booths	Howard Theatre
452	16	5	Balcony Seating	Howard Theatre
453	17	10	Balcony Seating	Howard Theatre
455	5	9	Balcony Booths	Howard Theatre
456	4	8	Balcony Seating	Howard Theatre
457	20	1	Balcony Seating	Howard Theatre
459	2	8	Balcony Seating	Howard Theatre
460	6	6	Balcony Booths	Howard Theatre
461	3	9	Balcony Booths	Howard Theatre
463	19	5	Balcony Seating	Howard Theatre
464	10	3	Balcony Booths	Howard Theatre
465	1	2	Balcony Booths	Howard Theatre
467	16	3	Balcony Seating	Howard Theatre
468	17	2	Balcony Seating	Howard Theatre
469	3	3	Balcony Booths	Howard Theatre
471	5	10	Balcony Seating	Howard Theatre
472	6	3	Balcony Booths	Howard Theatre
473	4	6	Balcony Booths	Howard Theatre
475	7	2	Balcony Seating	Howard Theatre
476	1	5	Balcony Seating	Howard Theatre
477	13	10	Balcony Seating	Howard Theatre
479	7	1	Balcony Seating	Howard Theatre
480	4	10	Balcony Booths	Howard Theatre
481	13	9	Balcony Seating	Howard Theatre
483	13	2	Balcony Seating	Howard Theatre
484	17	3	Balcony Seating	Howard Theatre
485	15	7	Balcony Seating	Howard Theatre
487	1	10	Balcony Booths	Howard Theatre
488	7	3	Balcony Seating	Howard Theatre
489	18	4	Balcony Seating	Howard Theatre
491	5	3	Balcony Seating	Howard Theatre
492	1	6	Balcony Seating	Howard Theatre
493	7	4	Balcony Seating	Howard Theatre
495	9	9	Balcony Booths	Howard Theatre
496	15	3	Balcony Seating	Howard Theatre
497	1	5	Balcony Booths	Howard Theatre
499	10	8	Balcony Seating	Howard Theatre
500	6	7	Balcony Booths	Howard Theatre
501	19	9	Balcony Seating	Howard Theatre
503	2	9	Balcony Seating	Howard Theatre
504	1	1	Balcony Seating	Howard Theatre
505	7	7	Balcony Booths	Howard Theatre
507	5	4	Balcony Seating	Howard Theatre
508	3	2	Balcony Seating	Howard Theatre
509	4	3	Balcony Seating	Howard Theatre
511	12	10	Balcony Seating	Howard Theatre
512	7	5	Balcony Booths	Howard Theatre
513	15	6	Balcony Seating	Howard Theatre
516	7	1	Balcony Booths	Howard Theatre
517	11	5	Balcony Seating	Howard Theatre
518	2	2	Balcony Booths	Howard Theatre
520	12	10	Balcony Seating	Howard Theatre
521	14	9	Balcony Seating	Howard Theatre
522	11	2	Balcony Seating	Howard Theatre
524	18	4	Balcony Seating	Howard Theatre
525	15	2	Balcony Seating	Howard Theatre
526	12	7	Balcony Seating	Howard Theatre
528	13	7	Balcony Seating	Howard Theatre
529	3	7	Balcony Booths	Howard Theatre
530	4	8	Balcony Seating	Howard Theatre
532	4	2	Balcony Booths	Howard Theatre
533	5	9	Balcony Booths	Howard Theatre
534	16	7	Balcony Seating	Howard Theatre
536	2	4	Balcony Seating	Howard Theatre
537	10	7	Balcony Seating	Howard Theatre
538	13	6	Balcony Seating	Howard Theatre
540	5	3	Balcony Booths	Howard Theatre
541	20	1	Balcony Seating	Howard Theatre
542	6	5	Balcony Booths	Howard Theatre
544	6	1	Balcony Booths	Howard Theatre
545	17	1	Balcony Seating	Howard Theatre
546	2	6	Balcony Seating	Howard Theatre
548	2	10	Balcony Booths	Howard Theatre
549	12	3	Balcony Seating	Howard Theatre
550	17	4	Balcony Seating	Howard Theatre
552	9	1	Balcony Booths	Howard Theatre
553	9	4	Balcony Booths	Howard Theatre
554	16	10	Balcony Seating	Howard Theatre
556	10	10	Balcony Seating	Howard Theatre
557	10	6	Balcony Booths	Howard Theatre
558	9	5	Balcony Seating	Howard Theatre
560	7	7	Balcony Booths	Howard Theatre
561	9	9	Balcony Booths	Howard Theatre
562	20	7	Balcony Seating	Howard Theatre
564	9	10	Balcony Seating	Howard Theatre
565	13	23	Orchestra	Vogue Theatre
566	21	3	Dress Circle	Vogue Theatre
567	7	19	Orchestra	Vogue Theatre
568	2	4	Orchestra	Vogue Theatre
569	8	5	Upper Circle	Vogue Theatre
570	2	9	Upper Circle	Vogue Theatre
571	20	13	Orchestra	Vogue Theatre
572	16	4	Upper Circle	Vogue Theatre
573	24	16	Orchestra	Vogue Theatre
574	16	7	Dress Circle	Vogue Theatre
575	2	9	Dress Circle	Vogue Theatre
576	20	4	Dress Circle	Vogue Theatre
577	9	8	Upper Circle	Vogue Theatre
578	5	23	Orchestra	Vogue Theatre
579	8	16	Orchestra	Vogue Theatre
580	9	6	Dress Circle	Vogue Theatre
581	14	4	Dress Circle	Vogue Theatre
582	16	16	Orchestra	Vogue Theatre
583	1	12	Dress Circle	Vogue Theatre
584	6	1	Orchestra	Vogue Theatre
585	1	20	Orchestra	Vogue Theatre
586	24	12	Dress Circle	Vogue Theatre
587	13	13	Orchestra	Vogue Theatre
588	8	8	Orchestra	Vogue Theatre
589	16	10	Upper Circle	Vogue Theatre
590	14	4	Upper Circle	Vogue Theatre
591	6	27	Orchestra	Vogue Theatre
592	8	24	Orchestra	Vogue Theatre
593	18	15	Orchestra	Vogue Theatre
594	5	12	Orchestra	Vogue Theatre
595	10	9	Orchestra	Vogue Theatre
596	15	27	Orchestra	Vogue Theatre
597	9	18	Orchestra	Vogue Theatre
598	7	23	Orchestra	Vogue Theatre
599	4	12	Orchestra	Vogue Theatre
600	19	9	Orchestra	Vogue Theatre
601	22	3	Orchestra	Vogue Theatre
602	19	23	Orchestra	Vogue Theatre
603	1	14	Dress Circle	Vogue Theatre
604	23	12	Dress Circle	Vogue Theatre
605	6	21	Orchestra	Vogue Theatre
606	11	25	Orchestra	Vogue Theatre
607	21	8	Orchestra	Vogue Theatre
608	14	11	Dress Circle	Vogue Theatre
609	1	2	Orchestra	Vogue Theatre
610	15	6	Upper Circle	Vogue Theatre
611	18	2	Upper Circle	Vogue Theatre
612	20	9	Upper Circle	Vogue Theatre
613	16	2	Upper Circle	Vogue Theatre
614	21	18	Orchestra	Vogue Theatre
615	20	6	Orchestra	Vogue Theatre
616	21	4	Dress Circle	Vogue Theatre
617	7	7	Dress Circle	Vogue Theatre
618	17	14	Dress Circle	Vogue Theatre
619	10	12	Dress Circle	Vogue Theatre
620	11	1	Dress Circle	Vogue Theatre
621	8	19	Orchestra	Vogue Theatre
622	23	3	Upper Circle	Vogue Theatre
623	21	6	Upper Circle	Vogue Theatre
624	22	3	Dress Circle	Vogue Theatre
625	20	11	Dress Circle	Vogue Theatre
626	24	5	Orchestra	Vogue Theatre
627	7	13	Dress Circle	Vogue Theatre
628	17	5	Upper Circle	Vogue Theatre
629	17	24	Orchestra	Vogue Theatre
630	5	1	Upper Circle	Vogue Theatre
631	23	14	Orchestra	Vogue Theatre
632	8	27	Orchestra	Vogue Theatre
633	23	24	Orchestra	Vogue Theatre
634	8	20	Orchestra	Vogue Theatre
635	19	1	Upper Circle	Vogue Theatre
636	7	27	Orchestra	Vogue Theatre
637	19	12	Orchestra	Vogue Theatre
638	18	10	Orchestra	Vogue Theatre
639	6	24	Orchestra	Vogue Theatre
640	24	19	Orchestra	Vogue Theatre
641	23	8	Orchestra	Vogue Theatre
642	12	19	Orchestra	Vogue Theatre
643	3	3	Orchestra	Vogue Theatre
644	21	14	Orchestra	Vogue Theatre
645	20	6	Upper Circle	Vogue Theatre
646	23	4	Dress Circle	Vogue Theatre
647	1	6	Orchestra	Vogue Theatre
648	23	6	Orchestra	Vogue Theatre
649	24	4	Dress Circle	Vogue Theatre
650	6	11	Dress Circle	Vogue Theatre
651	4	10	Dress Circle	Vogue Theatre
652	15	14	Dress Circle	Vogue Theatre
653	13	5	Orchestra	Vogue Theatre
654	22	11	Dress Circle	Vogue Theatre
655	23	5	Orchestra	Vogue Theatre
656	25	2	Orchestra	Vogue Theatre
657	5	5	Dress Circle	Vogue Theatre
658	20	1	Upper Circle	Vogue Theatre
659	25	16	Orchestra	Vogue Theatre
660	11	8	Dress Circle	Vogue Theatre
661	17	18	Orchestra	Vogue Theatre
662	11	13	Dress Circle	Vogue Theatre
663	19	2	Upper Circle	Vogue Theatre
664	22	8	Orchestra	Vogue Theatre
665	25	4	Dress Circle	Vogue Theatre
666	6	9	Dress Circle	Vogue Theatre
667	2	15	Orchestra	Vogue Theatre
668	3	13	Dress Circle	Vogue Theatre
669	2	7	Upper Circle	Vogue Theatre
670	5	21	Orchestra	Vogue Theatre
671	11	2	Upper Circle	Vogue Theatre
672	2	5	Dress Circle	Vogue Theatre
673	13	10	Dress Circle	Vogue Theatre
674	15	22	Orchestra	Vogue Theatre
675	24	10	Dress Circle	Vogue Theatre
676	6	28	Orchestra	Vogue Theatre
677	11	10	Orchestra	Vogue Theatre
678	11	5	Dress Circle	Vogue Theatre
679	23	26	Orchestra	Vogue Theatre
680	23	27	Orchestra	Vogue Theatre
681	16	18	Orchestra	Vogue Theatre
682	15	12	Dress Circle	Vogue Theatre
683	5	13	Orchestra	Vogue Theatre
684	11	4	Dress Circle	Vogue Theatre
685	5	5	Upper Circle	Vogue Theatre
686	10	25	Orchestra	Vogue Theatre
687	10	11	Orchestra	Vogue Theatre
688	17	21	Orchestra	Vogue Theatre
689	10	7	Upper Circle	Vogue Theatre
690	12	9	Upper Circle	Vogue Theatre
691	9	7	Dress Circle	Vogue Theatre
692	7	13	Dress Circle	Vogue Theatre
693	7	10	Dress Circle	Vogue Theatre
694	1	2	Dress Circle	Vogue Theatre
695	23	7	Dress Circle	Vogue Theatre
696	15	9	Upper Circle	Vogue Theatre
697	6	18	Orchestra	Vogue Theatre
698	1	7	Upper Circle	Vogue Theatre
699	11	3	Upper Circle	Vogue Theatre
700	18	18	Orchestra	Vogue Theatre
701	1	1	Dress Circle	Vogue Theatre
702	2	20	Orchestra	Vogue Theatre
703	5	17	Orchestra	Vogue Theatre
704	17	9	Upper Circle	Vogue Theatre
705	17	14	Dress Circle	Vogue Theatre
706	6	1	Upper Circle	Vogue Theatre
707	22	24	Orchestra	Vogue Theatre
708	4	16	Orchestra	Vogue Theatre
709	9	6	Dress Circle	Vogue Theatre
710	17	9	Dress Circle	Vogue Theatre
711	3	28	Orchestra	Vogue Theatre
712	18	3	Dress Circle	Vogue Theatre
713	6	13	Dress Circle	Vogue Theatre
714	12	4	Dress Circle	Vogue Theatre
715	20	18	Orchestra	Vogue Theatre
716	9	3	Dress Circle	Vogue Theatre
717	10	18	Orchestra	Vogue Theatre
718	18	11	Dress Circle	Vogue Theatre
719	19	3	Dress Circle	Vogue Theatre
720	18	22	Orchestra	Vogue Theatre
721	20	19	First Balcony	Burton Cummings Theatre
722	23	13	First Balcony	Burton Cummings Theatre
723	13	2	Second Balcony	Burton Cummings Theatre
724	18	10	First Balcony	Burton Cummings Theatre
725	5	12	Second Balcony	Burton Cummings Theatre
726	3	20	First Balcony	Burton Cummings Theatre
727	7	14	First Balcony	Burton Cummings Theatre
728	3	21	Main Floor	Burton Cummings Theatre
729	7	17	First Balcony	Burton Cummings Theatre
730	15	24	Main Floor	Burton Cummings Theatre
731	3	2	First Balcony	Burton Cummings Theatre
732	9	4	First Balcony	Burton Cummings Theatre
733	7	8	Main Floor	Burton Cummings Theatre
734	21	9	Main Floor	Burton Cummings Theatre
735	3	8	Main Floor	Burton Cummings Theatre
736	7	21	First Balcony	Burton Cummings Theatre
737	15	10	Second Balcony	Burton Cummings Theatre
738	13	8	First Balcony	Burton Cummings Theatre
739	18	6	Main Floor	Burton Cummings Theatre
740	8	19	Main Floor	Burton Cummings Theatre
741	4	1	First Balcony	Burton Cummings Theatre
742	11	14	Main Floor	Burton Cummings Theatre
743	8	19	First Balcony	Burton Cummings Theatre
744	28	9	First Balcony	Burton Cummings Theatre
745	7	22	Main Floor	Burton Cummings Theatre
746	12	18	First Balcony	Burton Cummings Theatre
747	10	12	Second Balcony	Burton Cummings Theatre
748	16	21	First Balcony	Burton Cummings Theatre
749	28	6	First Balcony	Burton Cummings Theatre
750	3	10	First Balcony	Burton Cummings Theatre
751	10	12	First Balcony	Burton Cummings Theatre
752	20	6	Second Balcony	Burton Cummings Theatre
753	20	13	First Balcony	Burton Cummings Theatre
754	1	27	Main Floor	Burton Cummings Theatre
755	23	17	Main Floor	Burton Cummings Theatre
756	15	16	Main Floor	Burton Cummings Theatre
757	26	7	Main Floor	Burton Cummings Theatre
758	18	3	Second Balcony	Burton Cummings Theatre
