lid	tid	seller_id	list_datetime	price	withdraw_datetime	buyer_id	trans_datetime
32	1229	9	2026-01-14 16:20:27	82.00	\N	33	2026-01-15 16:20:27
33	1227	9	2026-01-14 16:20:27	90.20	\N	25	2026-01-15 16:20:27
34	91	9	2026-01-11 13:57:13	95.06	\N	68	2026-01-12 13:57:13
35	94	9	2026-01-11 13:57:13	95.06	\N	61	2026-01-12 13:57:13
36	332	9	2026-03-20 16:27:29	48.38	\N	105	2026-03-21 16:27:29
37	82	9	2026-01-11 13:57:13	97.00	\N	88	2026-01-12 13:57:13
38	68	9	2026-04-13 13:00:00	46.00	\N	79	2026-04-14 13:00:00
39	86	9	2026-01-11 13:57:13	79.54	\N	63	2026-01-12 13:57:13
40	1355	9	2026-05-02 06:46:12	48.40	\N	47	2026-05-03 06:46:12
41	72	9	2026-04-13 13:00:00	36.00	\N	39	2026-04-14 13:00:00
42	1352	9	2026-05-02 06:46:12	72.98	\N	71	2026-05-03 06:46:12
43	67	9	2026-04-13 13:00:00	44.00	\N	97	2026-04-14 13:00:00
44	3760	9	2026-06-10 10:54:51	53.30	\N	56	2026-06-11 10:54:51
45	48	9	2026-04-09 22:22:37	64.00	\N	11	2026-04-10 22:22:37
46	3756	9	2026-06-10 10:54:51	65.00	\N	77	2026-06-11 10:54:51
47	1228	9	2026-01-14 16:20:27	82.00	\N	15	2026-01-15 16:20:27
48	83	9	2026-01-11 13:57:13	79.54	\N	82	2026-01-12 13:57:13
49	76	9	2026-04-13 13:00:00	46.00	\N	85	2026-04-14 13:00:00
50	113	9	2026-01-27 00:18:43	65.55	\N	70	2026-01-28 00:18:43
51	66	9	2026-04-13 13:00:00	36.00	\N	67	2026-04-14 13:00:00
52	106	9	2026-07-13 04:18:24	99.75	\N	85	2026-07-14 04:18:24
53	99	9	2026-07-13 04:18:24	45.00	\N	73	2026-07-14 04:18:24
54	65	9	2026-04-13 13:00:00	36.00	\N	60	2026-04-14 13:00:00
55	3262	9	2026-07-04 06:45:09	48.02	\N	105	2026-07-05 06:45:09
56	58	9	2026-04-09 22:22:37	46.20	\N	16	2026-04-10 22:22:37
57	100	9	2026-07-13 04:18:24	114.00	\N	56	2026-07-14 04:18:24
58	120	9	2026-01-27 00:18:43	84.70	\N	10	2026-01-28 00:18:43
59	330	9	2026-03-20 16:27:29	114.40	\N	38	2026-03-21 16:27:29
60	105	9	2026-07-13 04:18:24	45.00	\N	6	2026-07-14 04:18:24
61	1289	9	2026-05-27 05:00:00	43.68	\N	16	2026-05-28 05:00:00
62	50	9	2026-04-09 22:22:37	44.00	\N	\N	\N
63	51	9	2026-04-09 22:22:37	57.60	\N	55	2026-04-10 22:22:37
64	3873	9	2026-05-16 06:00:00	53.30	\N	13	2026-05-17 06:00:00
65	62	9	2026-04-09 22:22:37	57.60	\N	99	2026-04-10 22:22:37
66	80	9	2026-04-13 13:00:00	46.00	\N	82	2026-04-14 13:00:00
67	331	9	2026-03-20 16:27:29	122.72	\N	57	2026-03-21 16:27:29
68	112	9	2026-01-27 00:18:43	112.20	\N	24	2026-01-28 00:18:43
69	108	9	2026-07-13 04:18:24	60.00	\N	104	2026-07-14 04:18:24
70	79	9	2026-04-13 13:00:00	46.00	\N	95	2026-04-14 13:00:00
71	153	6	2026-06-12 22:00:00	36.90	\N	7	2026-06-13 22:00:00
72	2726	6	2026-02-03 19:54:17	46.06	\N	52	2026-02-04 19:54:17
73	1	6	2026-02-17 10:44:04	41.16	\N	72	2026-02-18 10:44:04
74	152	6	2026-06-12 22:00:00	44.10	\N	61	2026-06-13 22:00:00
75	3	6	2026-02-17 10:44:04	87.00	\N	92	2026-02-18 10:44:04
76	4048	6	2026-06-19 03:00:00	31.50	\N	74	2026-06-20 03:00:00
77	1007	6	2026-05-22 05:34:57	67.85	\N	62	2026-05-23 05:34:57
78	154	6	2026-06-12 22:00:00	49.50	\N	46	2026-06-13 22:00:00
79	2922	6	2026-06-03 05:23:22	48.02	\N	12	2026-06-04 05:23:22
80	4047	6	2026-06-19 03:00:00	38.50	\N	\N	\N
81	4302	6	2026-06-06 13:00:00	45.10	\N	31	2026-06-07 13:00:00
82	2725	6	2026-02-03 19:54:17	47.00	\N	71	2026-02-04 19:54:17
83	2923	6	2026-06-03 05:23:22	40.18	2026-06-04 05:23:22	\N	\N
84	150	6	2026-06-27 07:35:57	49.00	\N	\N	\N
85	7	6	2026-06-08 19:00:00	36.00	\N	\N	\N
86	8	6	2026-06-08 19:00:00	93.50	\N	50	2026-06-09 19:00:00
87	151	6	2026-06-27 07:35:57	53.90	\N	94	2026-06-28 07:35:57
88	2727	6	2026-02-03 19:54:17	50.76	\N	94	2026-02-04 19:54:17
89	11	6	2026-03-25 04:18:57	34.00	\N	65	2026-03-26 04:18:57
90	2	6	2026-02-17 10:44:04	91.35	\N	79	2026-02-18 10:44:04
91	10	6	2025-10-04 00:44:58	77.05	\N	59	2025-10-05 00:44:58
92	2724	6	2026-02-03 19:54:17	47.00	2026-02-04 19:54:17	\N	\N
93	2019	7	2026-04-04 23:00:00	43.68	\N	34	2026-04-05 23:00:00
94	1995	7	2026-05-20 20:47:57	43.68	\N	41	2026-05-21 20:47:57
95	3191	7	2026-05-20 06:24:32	49.00	\N	99	2026-05-21 06:24:32
96	27	7	2026-06-02 10:49:13	82.00	\N	64	2026-06-03 10:49:13
97	4563	7	2026-07-20 09:00:00	61.60	\N	71	2026-07-21 09:00:00
98	25	7	2026-06-20 08:35:15	109.20	\N	46	2026-06-21 08:35:15
99	3810	7	2026-07-15 21:00:00	70.20	\N	93	2026-07-16 21:00:00
100	3357	7	2026-04-15 21:00:00	40.50	\N	70	2026-04-16 21:00:00
101	2857	7	2026-04-23 23:07:34	51.45	\N	29	2026-04-24 23:07:34
102	3486	7	2026-06-22 23:00:00	65.00	2026-06-23 23:00:00	\N	\N
103	3353	7	2026-04-15 21:00:00	40.50	2026-04-16 21:00:00	\N	\N
104	1091	7	2026-02-19 00:20:33	68.20	\N	58	2026-02-20 00:20:33
105	3352	7	2026-04-15 21:00:00	48.60	\N	85	2026-04-16 21:00:00
106	3356	7	2026-04-15 21:00:00	48.60	\N	93	2026-04-16 21:00:00
107	2910	7	2026-05-16 06:36:41	48.02	\N	95	2026-05-17 06:36:41
108	2216	7	2025-10-24 21:28:23	46.06	\N	36	2025-10-25 21:28:23
109	2219	7	2025-10-24 21:28:23	38.54	\N	65	2025-10-25 21:28:23
110	3474	7	2026-06-26 19:25:32	70.20	\N	41	2026-06-27 19:25:32
111	3479	7	2026-06-26 19:25:32	63.70	2026-06-27 19:25:32	\N	\N
112	2217	7	2025-10-24 21:28:23	46.06	2025-10-25 21:28:23	\N	\N
113	3488	7	2026-06-22 23:00:00	70.20	\N	76	2026-06-23 23:00:00
114	3812	7	2026-07-15 21:00:00	68.25	\N	\N	\N
115	3477	7	2026-06-26 19:25:32	70.20	\N	33	2026-06-27 19:25:32
116	2912	7	2026-05-16 06:36:41	51.45	\N	33	2026-05-17 06:36:41
117	4565	7	2026-07-20 09:00:00	49.50	\N	101	2026-07-21 09:00:00
118	4296	7	2026-06-28 09:06:25	53.90	\N	80	2026-06-29 09:06:25
119	22	7	2026-06-27 02:09:20	112.10	2026-06-28 02:09:20	\N	\N
120	3811	7	2026-07-15 21:00:00	53.30	2026-07-16 21:00:00	\N	\N
121	16	7	2025-11-18 06:34:58	42.64	\N	98	2025-11-19 06:34:58
122	4560	7	2026-07-20 09:00:00	61.60	\N	\N	\N
123	4381	7	2026-07-09 13:38:46	45.10	2026-07-10 13:38:46	\N	\N
124	4562	7	2026-07-20 09:00:00	45.10	\N	83	2026-07-21 09:00:00
125	4379	7	2026-07-09 13:38:46	53.90	\N	\N	\N
126	17	7	2025-11-18 06:34:58	50.96	\N	101	2025-11-19 06:34:58
127	24	7	2026-06-20 08:35:15	53.10	\N	29	2026-06-21 08:35:15
128	4456	7	2026-06-08 16:00:00	55.00	\N	66	2026-06-09 16:00:00
129	1090	7	2026-02-19 00:20:33	68.20	\N	92	2026-02-20 00:20:33
130	26	7	2026-06-02 10:49:13	110.00	\N	32	2026-06-03 10:49:13
131	2855	7	2026-04-23 23:07:34	48.02	\N	89	2026-04-24 23:07:34
132	1087	7	2026-02-19 00:20:33	55.80	\N	39	2026-02-20 00:20:33
133	1092	7	2026-02-19 00:20:33	62.00	\N	69	2026-02-20 00:20:33
134	28	7	2026-01-05 04:40:13	69.44	2026-01-06 04:40:13	\N	\N
135	2829	7	2026-05-31 10:45:00	49.00	\N	104	2026-06-01 10:45:00
136	4382	7	2026-07-09 13:38:46	55.00	\N	12	2026-07-10 13:38:46
137	15	7	2025-11-18 06:34:58	54.60	\N	96	2025-11-19 06:34:58
138	2830	7	2026-05-31 10:45:00	52.92	\N	22	2026-06-01 10:45:00
139	3151	7	2026-03-04 04:20:17	52.92	\N	37	2026-03-05 04:20:17
140	4454	7	2026-06-08 16:00:00	61.60	\N	\N	\N
141	3192	7	2026-05-20 06:24:32	40.18	\N	10	2026-05-21 06:24:32
142	3149	7	2026-03-04 04:20:17	44.10	\N	65	2026-03-05 04:20:17
143	3355	7	2026-04-15 21:00:00	48.60	\N	96	2026-04-16 21:00:00
144	3476	7	2026-06-26 19:25:32	70.20	\N	\N	\N
145	19	7	2026-02-14 10:05:23	56.70	\N	22	2026-02-15 10:05:23
146	20	7	2026-02-14 10:05:23	56.70	\N	69	2026-02-15 10:05:23
147	2214	7	2025-10-24 21:28:23	42.30	2025-10-25 21:28:23	\N	\N
148	4457	7	2026-06-08 16:00:00	53.90	\N	50	2026-06-09 16:00:00
149	18	7	2026-02-14 10:05:23	67.50	\N	59	2026-02-15 10:05:23
150	4458	7	2026-06-08 16:00:00	45.10	\N	76	2026-06-09 16:00:00
151	3809	7	2026-07-15 21:00:00	65.00	\N	13	2026-07-16 21:00:00
152	2016	7	2026-04-04 23:00:00	94.08	\N	96	2026-04-05 23:00:00
153	23	7	2026-06-27 02:09:20	62.50	2026-06-28 02:09:20	\N	\N
154	2201	8	2026-02-09 00:27:51	49.35	\N	18	2026-02-10 00:27:51
155	3780	8	2026-07-16 20:34:55	70.20	\N	74	2026-07-17 20:34:55
156	4006	8	2026-07-13 03:19:53	34.30	\N	69	2026-07-14 03:19:53
157	3782	8	2026-07-16 20:34:55	63.70	\N	17	2026-07-17 20:34:55
158	4005	8	2026-07-13 03:19:53	36.75	\N	61	2026-07-14 03:19:53
159	36	8	2026-05-01 07:00:00	49.20	\N	80	2026-05-02 07:00:00
160	44	8	2026-04-07 06:00:00	34.30	2026-04-08 06:00:00	\N	\N
161	2205	8	2026-02-09 00:27:51	50.76	\N	45	2026-02-10 00:27:51
162	32	8	2026-07-06 03:11:29	64.00	\N	\N	\N
163	2204	8	2026-02-09 00:27:51	38.54	\N	28	2026-02-10 00:27:51
164	45	8	2026-01-06 06:19:45	42.00	\N	75	2026-01-07 06:19:45
165	2202	8	2026-02-09 00:27:51	50.76	\N	82	2026-02-10 00:27:51
166	3156	8	2026-02-28 06:33:42	52.92	\N	50	2026-03-01 06:33:42
167	43	8	2026-04-07 06:00:00	88.00	\N	67	2026-04-08 06:00:00
168	4424	8	2026-04-22 19:00:00	55.00	\N	7	2026-04-23 19:00:00
169	4002	8	2026-07-13 03:19:53	34.30	\N	47	2026-07-14 03:19:53
170	41	8	2026-03-20 19:57:25	75.60	\N	98	2026-03-21 19:57:25
171	2839	8	2026-03-01 21:03:15	52.92	\N	61	2026-03-02 21:03:15
172	30	8	2026-07-06 03:11:29	70.40	\N	28	2026-07-07 03:11:29
173	37	8	2025-12-09 23:12:56	86.10	\N	60	2025-12-10 23:12:56
174	3152	8	2026-02-28 06:33:42	52.92	\N	67	2026-03-01 06:33:42
175	4422	8	2026-04-22 19:00:00	57.75	2026-04-23 19:00:00	\N	\N
176	1648	8	2026-05-18 01:36:28	60.68	\N	33	2026-05-19 01:36:28
177	1920	8	2025-12-16 13:29:45	62.00	2025-12-17 13:29:45	\N	\N
178	1919	8	2025-12-16 13:29:45	55.80	\N	81	2025-12-17 13:29:45
179	1922	8	2025-12-16 13:29:45	55.80	2025-12-17 13:29:45	\N	\N
180	1923	8	2025-12-16 13:29:45	68.20	2025-12-17 13:29:45	\N	\N
181	1647	8	2026-05-18 01:36:28	48.60	\N	95	2026-05-19 01:36:28
182	2837	8	2026-03-01 21:03:15	40.18	\N	\N	\N
183	3781	8	2026-07-16 20:34:55	63.70	\N	22	2026-07-17 20:34:55
184	31	8	2026-07-06 03:11:29	67.20	\N	89	2026-07-07 03:11:29
185	4423	8	2026-04-22 19:00:00	61.60	\N	70	2026-04-23 19:00:00
186	4421	8	2026-04-22 19:00:00	61.60	\N	73	2026-04-23 19:00:00
187	3079	8	2026-04-17 15:22:48	52.92	\N	\N	\N
188	42	8	2026-03-20 19:57:25	31.98	\N	30	2026-03-21 19:57:25
189	2835	8	2026-03-01 21:03:15	52.92	2026-03-02 21:03:15	\N	\N
190	2840	8	2026-03-01 21:03:15	52.92	\N	76	2026-03-02 21:03:15
191	38	8	2025-12-09 23:12:56	80.36	2025-12-10 23:12:56	\N	\N
192	4003	8	2026-07-13 03:19:53	28.70	2026-07-14 03:19:53	\N	\N
193	3153	8	2026-02-28 06:33:42	44.10	\N	30	2026-03-01 06:33:42
194	1901	15	2026-01-24 08:35:10	65.10	\N	79	2026-01-25 08:35:10
195	2349	15	2026-02-06 21:38:50	50.76	\N	76	2026-02-07 21:38:50
196	497	15	2026-02-22 07:11:12	62.72	\N	\N	\N
197	1143	15	2026-04-09 12:22:59	52.48	\N	29	2026-04-10 12:22:59
198	942	15	2026-04-01 06:00:00	99.75	2026-04-02 06:00:00	\N	\N
199	2032	15	2026-05-08 22:42:43	84.00	\N	14	2026-05-09 22:42:43
200	1900	15	2026-01-24 08:35:10	65.10	2026-01-25 08:35:10	\N	\N
201	1195	15	2026-07-19 01:59:59	66.00	2026-07-20 01:59:59	\N	\N
202	943	15	2026-04-01 06:00:00	112.10	\N	26	2026-04-02 06:00:00
203	2351	15	2026-02-06 21:38:50	50.76	\N	25	2026-02-07 21:38:50
204	2348	15	2026-02-06 21:38:50	49.35	\N	63	2026-02-07 21:38:50
205	3309	15	2026-04-25 11:26:13	51.45	\N	77	2026-04-26 11:26:13
206	1290	15	2026-02-15 16:39:42	34.44	\N	95	2026-02-16 16:39:42
207	1897	15	2026-01-24 08:35:10	62.00	\N	17	2026-01-25 08:35:10
208	1194	15	2026-07-19 01:59:59	58.80	\N	52	2026-07-20 01:59:59
209	494	15	2026-02-22 07:11:12	64.00	2026-02-23 07:11:12	\N	\N
210	493	15	2026-02-22 07:11:12	71.68	\N	97	2026-02-23 07:11:12
211	498	15	2026-02-22 07:11:12	70.40	\N	83	2026-02-23 07:11:12
212	1334	15	2026-03-01 00:01:50	46.20	\N	65	2026-03-02 00:01:50
213	2030	15	2026-05-08 22:42:43	84.00	2026-05-09 22:42:43	\N	\N
214	496	15	2026-02-22 07:11:12	71.68	\N	6	2026-02-23 07:11:12
215	3449	15	2026-04-09 10:00:00	47.25	2026-04-10 10:00:00	\N	\N
216	2347	15	2026-02-06 21:38:50	50.76	\N	86	2026-02-07 21:38:50
217	1438	15	2025-11-26 17:13:18	82.80	\N	18	2025-11-27 17:13:18
218	1332	15	2026-03-01 00:01:50	95.70	\N	56	2026-03-02 00:01:50
219	941	15	2026-04-01 06:00:00	49.00	\N	7	2026-04-02 06:00:00
220	940	15	2026-04-01 06:00:00	104.50	\N	54	2026-04-02 06:00:00
221	591	22	2026-02-21 13:39:32	80.36	\N	35	2026-02-22 13:39:32
222	3533	22	2026-04-03 11:00:00	58.50	\N	17	2026-04-04 11:00:00
223	3166	22	2026-03-29 15:53:37	52.92	\N	6	2026-03-30 15:53:37
224	571	22	2026-01-25 19:08:23	82.00	\N	101	2026-01-26 19:08:23
225	3678	22	2026-06-08 05:10:38	65.00	\N	77	2026-06-09 05:10:38
226	3532	22	2026-04-03 11:00:00	63.70	\N	67	2026-04-04 11:00:00
227	2280	22	2026-01-03 02:41:04	42.30	\N	49	2026-01-04 02:41:04
228	2374	22	2025-11-29 16:48:02	50.76	\N	57	2025-11-30 16:48:02
229	3329	22	2026-04-30 18:58:48	40.18	\N	66	2026-05-01 18:58:48
230	3439	22	2026-04-02 09:00:00	47.25	\N	29	2026-04-03 09:00:00
231	2371	22	2025-11-29 16:48:02	50.76	2025-11-30 16:48:02	\N	\N
232	1542	22	2026-07-25 06:02:24	88.20	\N	47	2026-07-26 06:02:24
233	3681	22	2026-06-08 05:10:38	70.20	\N	\N	\N
234	3330	22	2026-04-30 18:58:48	52.92	\N	61	2026-05-01 18:58:48
235	2277	22	2026-01-03 02:41:04	49.35	\N	57	2026-01-04 02:41:04
236	820	22	2026-03-26 16:39:20	70.40	2026-03-27 16:39:20	\N	\N
237	3590	22	2026-04-23 14:00:00	70.20	\N	90	2026-04-24 14:00:00
238	589	22	2026-02-21 13:39:32	38.85	\N	17	2026-02-22 13:39:32
239	2278	22	2026-01-03 02:41:04	38.54	\N	29	2026-01-04 02:41:04
240	588	22	2026-02-21 13:39:32	67.24	2026-02-22 13:39:32	\N	\N
241	3331	22	2026-04-30 18:58:48	52.92	\N	24	2026-05-01 18:58:48
242	2279	22	2026-01-03 02:41:04	38.54	\N	33	2026-01-04 02:41:04
243	2377	22	2025-11-15 14:04:14	50.76	\N	30	2025-11-16 14:04:14
244	590	22	2026-02-21 13:39:32	40.70	\N	75	2026-02-22 13:39:32
245	573	22	2026-01-25 19:08:23	73.80	\N	96	2026-01-26 19:08:23
246	3534	22	2026-04-03 11:00:00	63.70	\N	91	2026-04-04 11:00:00
247	592	22	2026-02-21 13:39:32	86.10	\N	8	2026-02-22 13:39:32
248	574	22	2026-01-25 19:08:23	90.20	\N	41	2026-01-26 19:08:23
249	572	22	2026-01-25 19:08:23	40.70	\N	56	2026-01-26 19:08:23
250	3438	22	2026-04-02 09:00:00	44.10	\N	18	2026-04-03 09:00:00
251	3530	22	2026-04-03 11:00:00	70.20	\N	28	2026-04-04 11:00:00
252	1541	22	2026-07-25 06:02:24	36.90	\N	47	2026-07-26 06:02:24
253	3332	22	2026-04-30 18:58:48	51.45	\N	72	2026-05-01 18:58:48
254	2375	22	2025-11-15 14:04:14	46.06	2025-11-16 14:04:14	\N	\N
255	4010	31	2026-07-12 06:34:07	38.50	\N	64	2026-07-13 06:34:07
256	2028	31	2026-04-11 21:04:34	94.08	\N	8	2026-04-12 21:04:34
257	897	31	2026-01-24 03:56:51	79.54	\N	68	2026-01-25 03:56:51
258	4013	31	2026-07-12 06:34:07	36.75	\N	11	2026-07-13 06:34:07
259	3707	31	2026-05-21 12:00:00	63.70	\N	13	2026-05-22 12:00:00
260	1327	31	2026-02-10 08:25:15	95.70	2026-02-11 08:25:15	\N	\N
261	4011	31	2026-07-12 06:34:07	38.50	\N	105	2026-07-13 06:34:07
262	3397	31	2026-06-23 20:00:00	48.60	\N	\N	\N
263	185	31	2026-06-15 20:12:39	45.00	2026-06-16 20:12:39	\N	\N
264	1291	31	2026-02-21 13:20:53	71.34	\N	84	2026-02-22 13:20:53
265	2026	31	2026-04-11 21:04:34	75.60	\N	15	2026-04-12 21:04:34
266	4581	31	2026-05-09 14:00:00	45.10	\N	\N	\N
267	1329	31	2026-02-10 08:25:15	85.26	\N	49	2026-02-11 08:25:15
268	4580	31	2026-05-09 14:00:00	45.10	\N	87	2026-05-10 14:00:00
269	895	31	2026-01-24 03:56:51	97.00	2026-01-25 03:56:51	\N	\N
270	4578	31	2026-05-09 14:00:00	60.50	\N	72	2026-05-10 14:00:00
271	3606	31	2026-06-24 15:00:00	70.20	\N	22	2026-06-25 15:00:00
272	1330	31	2026-02-10 08:25:15	51.24	\N	18	2026-02-11 08:25:15
273	1960	31	2026-05-12 11:00:00	66.00	\N	22	2026-05-13 11:00:00
274	1961	31	2026-05-12 11:00:00	63.00	\N	33	2026-05-13 11:00:00
275	2025	31	2026-04-11 21:04:34	92.40	\N	83	2026-04-12 21:04:34
276	2024	31	2026-04-11 21:04:34	94.08	\N	98	2026-04-12 21:04:34
277	3605	31	2026-06-24 15:00:00	70.20	\N	6	2026-06-25 15:00:00
278	896	31	2026-01-24 03:56:51	79.54	2026-01-25 03:56:51	\N	\N
279	4577	31	2026-05-09 14:00:00	57.75	\N	16	2026-05-10 14:00:00
280	3706	31	2026-05-21 12:00:00	70.20	\N	69	2026-05-22 12:00:00
281	899	31	2026-01-24 03:56:51	116.40	\N	20	2026-01-25 03:56:51
282	631	41	2026-03-07 03:02:23	92.40	\N	53	2026-03-08 03:02:23
283	3522	41	2026-05-31 14:00:00	68.25	\N	30	2026-06-01 14:00:00
284	228	41	2026-02-16 22:43:42	57.20	\N	94	2026-02-17 22:43:42
285	823	41	2026-04-30 06:12:10	73.60	\N	15	2026-05-01 06:12:10
286	3060	60	2026-05-25 05:44:00	48.02	\N	92	2026-05-26 05:44:00
287	4366	60	2026-05-23 05:00:00	61.60	\N	33	2026-05-24 05:00:00
288	3057	60	2026-05-25 05:44:00	40.18	\N	42	2026-05-26 05:44:00
289	4413	94	2026-06-21 20:20:29	53.90	\N	78	2026-06-22 20:20:29
290	2169	94	2026-02-10 23:08:26	50.76	\N	102	2026-02-11 23:08:26
291	1018	94	2026-06-18 16:17:22	109.20	\N	46	2026-06-19 16:17:22
292	1916	10	2026-01-15 05:51:18	50.84	\N	14	2026-01-16 05:51:18
293	1506	10	2026-07-18 00:36:19	48.02	2026-07-19 00:36:19	\N	\N
294	474	10	2026-07-01 19:39:54	67.20	\N	21	2026-07-02 19:39:54
295	1120	48	2026-07-02 15:29:34	119.90	\N	54	2026-07-03 15:29:34
296	3012	19	2026-07-15 22:26:16	44.10	\N	70	2026-07-16 22:26:16
297	181	19	2026-06-26 17:00:00	94.50	\N	39	2026-06-27 17:00:00
298	4015	19	2026-04-02 14:00:00	34.30	\N	31	2026-04-03 14:00:00
299	2452	95	2025-10-23 09:33:00	38.54	\N	77	2025-10-24 09:33:00
300	791	95	2026-05-01 14:58:24	39.60	\N	\N	\N
301	2716	95	2026-02-19 03:40:08	50.76	\N	15	2026-02-20 03:40:08
302	1804	81	2026-06-16 17:00:00	61.95	\N	37	2026-06-17 17:00:00
303	760	81	2026-02-17 06:48:06	37.80	\N	105	2026-02-18 06:48:06
304	2453	68	2025-12-01 15:52:25	50.76	\N	76	2025-12-02 15:52:25
305	1061	68	2026-07-23 01:35:34	82.00	\N	45	2026-07-24 01:35:34
306	698	68	2026-04-22 19:00:00	31.50	\N	101	2026-04-23 19:00:00
307	2896	68	2026-02-27 23:13:13	52.92	2026-02-28 23:13:13	\N	\N
308	3887	20	2026-05-01 19:00:00	65.00	2026-05-02 19:00:00	\N	\N
309	334	20	2026-05-05 09:50:36	101.92	2026-05-06 09:50:36	\N	\N
310	3581	20	2026-07-25 06:16:39	68.25	\N	83	2026-07-26 06:16:39
311	2963	20	2026-04-08 02:11:15	48.02	\N	7	2026-04-09 02:11:15
312	2420	101	2026-01-21 20:52:29	42.30	\N	75	2026-01-22 20:52:29
313	753	33	2025-12-03 23:13:35	46.20	\N	97	2025-12-04 23:13:35
314	3081	44	2026-06-20 03:54:01	44.10	\N	72	2026-06-21 03:54:01
315	3080	44	2026-06-20 03:54:01	40.18	2026-06-21 03:54:01	\N	\N
316	2440	44	2025-11-03 19:19:34	50.76	2025-11-04 19:19:34	\N	\N
317	4270	25	2026-04-06 19:00:00	61.60	\N	40	2026-04-07 19:00:00
318	2209	25	2025-11-24 07:29:27	38.54	\N	102	2025-11-25 07:29:27
319	1823	25	2026-07-23 10:53:56	55.00	\N	56	2026-07-24 10:53:56
320	908	25	2026-02-28 17:07:59	106.70	\N	45	2026-03-01 17:07:59
321	930	103	2026-06-06 20:00:00	77.90	\N	\N	\N
322	2664	83	2025-10-26 04:32:58	50.76	\N	27	2025-10-27 04:32:58
323	1101	83	2026-03-10 18:23:20	68.20	\N	64	2026-03-11 18:23:20
324	369	83	2026-06-10 03:54:11	85.28	2026-06-11 03:54:11	\N	\N
325	1100	83	2026-03-10 18:23:20	104.86	\N	53	2026-03-11 18:23:20
326	1608	43	2026-01-05 11:17:45	52.00	\N	48	2026-01-06 11:17:45
327	1836	63	2026-05-03 19:00:00	115.00	\N	25	2026-05-04 19:00:00
328	3579	63	2026-06-12 03:55:55	65.00	\N	38	2026-06-13 03:55:55
329	4345	52	2026-06-19 06:00:00	60.50	\N	\N	\N
330	1216	52	2026-02-24 01:36:24	80.36	\N	98	2026-02-25 01:36:24
331	3193	52	2026-06-25 04:47:18	48.02	\N	26	2026-06-26 04:47:18
332	1133	38	2026-07-18 20:42:38	98.10	\N	70	2026-07-19 20:42:38
333	1107	38	2026-03-29 16:52:06	68.20	\N	8	2026-03-30 16:52:06
334	3248	38	2026-03-13 15:59:17	52.92	\N	6	2026-03-14 15:59:17
335	2268	66	2025-11-26 04:20:05	50.76	\N	21	2025-11-27 04:20:05
336	837	30	2026-05-20 17:00:00	44.00	\N	79	2026-05-21 17:00:00
337	3828	30	2026-07-12 12:01:38	70.20	\N	53	2026-07-13 12:01:38
338	4544	30	2026-06-10 19:00:00	49.50	\N	\N	\N
